初始資金,10000000.0000000000
最後資金,12226818.2800000012
真實報酬,2226818.2800000012

二次趨勢線,4.8994034641x^2 + 9449.5795016207x + 10000000.0000000000
加權每日預期報酬,11099.0453345331
風險,262769.2042009200
二次趨勢值,0.0422387599

平均每日預期報酬,42.4171768970
風險,262769.2042009200
二次趨勢值,0.0001614237

一次趨勢線,10377.4003944630x + 10000000.0000000000
每日預期報酬,10377.4003944630
風險,265084.3330491105
一次趨勢值,0.0391475433

投資組合檔數,1
FS(51),10573429.5999999996,
FS(52),10621215.4000000004,
FS(53),10597322.5000000000,
FS(54),10673779.7800000012,
FS(55),10727937.0199999996,
FS(56),10640329.7199999988,
FS(57),10656258.3200000003,
FS(58),10713601.2800000012,
FS(59),10683336.9399999995,
FS(60),10710415.5599999987,
FS(61),10627586.8399999999,
FS(62),10764572.7999999989,
FS(63),10836251.5000000000,
FS(64),10801208.5800000001,
FS(65),10783687.1200000010,
FS(66),10952530.2800000012,
FS(67),10939787.4000000004,
FS(68),10915894.5000000000,
FS(69),10978016.0400000010,
FS(70),11057659.0400000010,
FS(71),11016244.6799999997,
FS(72),10995537.5000000000,
FS(73),11137302.0400000010,
FS(74),11204202.1600000001,
FS(75),11207387.8799999990,
FS(76),11314109.5000000000,
FS(77),11333223.8200000003,
FS(78),11312516.6399999987,
FS(79),11234466.5000000000,
FS(80),11204202.1600000001,
FS(81),11392159.6399999987,
FS(82),11244023.6600000001,
FS(83),11376231.0400000010,
FS(84),11251987.9600000009,
FS(85),11255173.6799999997,
FS(86),11057659.0400000010,
FS(87),10833065.7800000012,
FS(88),11242430.7999999989,
FS(89),11226502.2000000011,
FS(90),11256766.5400000010,
FS(91),11229687.9199999999,
FS(92),11084737.6600000001,
FS(93),11172344.9600000009,
FS(94),11153230.6399999987,
FS(95),11054473.3200000003,
FS(96),10777315.6799999997,
FS(97),10809172.8799999990,
FS(98),10777315.6799999997,
FS(99),10805987.1600000001,
FS(100),10514493.7800000012,
FS(101),10704044.1200000010,
FS(102),10651479.7400000002,
FS(103),10570243.8799999990,
FS(104),10794837.1399999987,
FS(105),10807580.0199999996,
FS(106),10624401.1200000010,
FS(107),10632365.4199999999,
FS(108),10892001.5999999996,
FS(109),10872887.2800000012,
FS(110),11049694.7400000002,
FS(111),11076773.3600000013,
FS(112),11038544.7199999988,
FS(113),11213759.3200000003,
FS(114),11196237.8600000013,
FS(115),11158009.2199999988,
FS(116),11130930.5999999996,
FS(117),11137302.0400000010,
FS(118),10933415.9600000009,
FS(119),10931823.0999999996,
FS(120),10788465.7000000011,
FS(121),10739087.0400000010,
FS(122),10724751.2999999989,
FS(123),10586172.4799999986,
FS(124),10492193.7400000002,
FS(125),10625993.9799999986,
FS(126),10535200.9600000009,
FS(127),10530422.3799999990,
FS(128),10721565.5800000001,
FS(129),10993944.6399999987,
FS(130),11025801.8399999999,
FS(131),11140487.7599999998,
FS(132),11283845.1600000001,
FS(133),11293402.3200000003,
FS(134),11361895.2999999989,
FS(135),11140487.7599999998,
FS(136),11135709.1799999997,
FS(137),11288623.7400000002,
FS(138),11167566.3799999990,
FS(139),11373045.3200000003,
FS(140),11134116.3200000003,
FS(141),11288623.7400000002,
FS(142),11213759.3200000003,
FS(143),11113409.1399999987,
FS(144),11051287.5999999996,
FS(145),11107037.7000000011,
FS(146),11189866.4199999999,
FS(147),11221723.6200000010,
FS(148),11259952.2599999998,
FS(149),11221723.6200000010,
FS(150),11427202.5599999987,
FS(151),11615160.0400000010,
FS(152),11602417.1600000001,
FS(153),11400123.9399999995,
FS(154),11478174.0800000001,
FS(155),11451095.4600000009,
FS(156),11435166.8600000013,
FS(157),11662945.8399999999,
FS(158),11667724.4199999999,
FS(159),11623124.3399999999,
FS(160),11640645.7999999989,
FS(161),11682060.1600000001,
FS(162),11583302.8399999999,
FS(163),11658167.2599999998,
FS(164),11653388.6799999997,
FS(165),11785596.0599999987,
FS(166),11586488.5599999987,
FS(167),11637460.0800000001,
FS(168),11873203.3600000013,
FS(169),11949660.6399999987,
FS(170),11960810.6600000001,
FS(171),12073903.7199999988,
FS(172),12118503.7999999989,
FS(173),11846124.7400000002,
FS(174),11948067.7800000012,
FS(175),11877981.9399999995,
FS(176),11777631.7599999998,
FS(177),11900281.9799999986,
FS(178),11914617.7199999988,
FS(179),11838160.4399999995,
FS(180),11963996.3799999990,
FS(181),12027710.7800000012,
FS(182),11967182.0999999996,
FS(183),11889131.9600000009,
FS(184),11962403.5199999996,
FS(185),11908246.2800000012,
FS(186),11887539.0999999996,
FS(187),11858867.6200000010,
FS(188),11868424.7800000012,
FS(189),11933732.0400000010,
FS(190),11938510.6200000010,
FS(191),12077089.4399999995,
FS(192),12010189.3200000003,
FS(193),12083460.8799999990,
FS(194),12121689.5199999996,
FS(195),12040453.6600000001,
FS(196),12038860.7999999989,
FS(197),12065939.4199999999,
FS(198),12271418.3600000013,
FS(199),12341504.2000000011,
FS(200),12316018.4399999995,
FS(201),12263454.0599999987,
FS(202),12330354.1799999997,
FS(203),12494418.7599999998,
FS(204),12511940.2199999988,
FS(205),12535833.1200000010,
FS(206),12545390.2800000012,
FS(207),12341504.2000000011,
FS(208),12341504.2000000011,
FS(209),12387697.1399999987,
FS(210),12405218.5999999996,
FS(211),12488047.3200000003,
FS(212),12503975.9199999999,
FS(213),12612290.4000000004,
FS(214),12631404.7199999988,
FS(215),12632997.5800000001,
FS(216),12599547.5199999996,
FS(217),12663261.9199999999,
FS(218),12695119.1200000010,
FS(219),12559726.0199999996,
FS(220),12594768.9399999995,
FS(221),12331947.0400000010,
FS(222),12483268.7400000002,
FS(223),12586804.6399999987,
FS(224),12685561.9600000009,
FS(225),12666447.6399999987,
FS(226),12585211.7800000012,
FS(227),12660076.2000000011,
FS(228),12510347.3600000013,
FS(229),12465747.2800000012,
FS(230),12472118.7199999988,
FS(231),12629811.8600000013,
FS(232),12644147.5999999996,
FS(233),12704676.2800000012,
FS(234),12676004.7999999989,
FS(235),12797062.1600000001,
FS(236),12542204.5599999987,
FS(237),12362211.3799999990,
FS(238),12354247.0800000001,
FS(239),12282568.3799999990,
FS(240),12282568.3799999990,
FS(241),12261861.2000000011,
FS(242),12218853.9799999986,
FS(243),12234782.5800000001,
FS(244),12252304.0400000010,
FS(245),12242746.8799999990,
FS(246),12266639.7800000012,
FS(247),12258675.4799999986,
FS(248),12174253.9000000004,
FS(249),12174253.9000000004,
FS(250),12263454.0599999987,
FS(251),12226818.2800000012,
FS(252),12226818.2800000012,
