代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12077175.6900000013
真實報酬,2077175.6900000013
趨勢值,0.2038589960

選擇檔數,8
找到最佳解世代,1816
找到最佳解實驗,3
Stock#,AXP,BA,CAT,HD,JNJ,MCD,UNH,V,
分配資金,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,
張數,15905,7076,13547,8525,10024,9644,7548,13988,
剩餘資金,26.0499999999,24.6000000000,18.3100000001,64.5000000000,107.4400000000,41.1599999999,126.6800000000,32.3200000000,
FS(23),1245864.7000000000,1295427.9199999999,1346454.6400000001,1320246.0000000000,1242582.2400000000,1383472.9599999997,1313629.6399999999,1295600.8800000001,10443278.9800000004,
FS(24),1245705.6499999999,1309155.3599999999,1349841.3900000001,1327662.7500000000,1238171.6799999999,1388391.3999999999,1314384.4399999999,1288187.2400000002,10461499.9100000001,
FS(25),1243160.8500000001,1316302.1199999999,1346183.7000000002,1337551.7500000000,1235565.4399999999,1391091.7200000000,1316799.7999999998,1285809.2800000000,10472464.6600000020,
FS(26),1247614.2500000000,1322599.7599999998,1345099.9400000002,1344286.5000000000,1235164.4800000000,1392249.0000000000,1307742.2000000000,1286928.3200000001,10481684.4500000011,
FS(27),1250954.3000000000,1296206.2799999998,1359595.2300000000,1348122.7500000000,1231154.8799999999,1393792.0400000000,1308874.3999999999,1290425.3200000001,10479125.2000000011,
FS(28),1239343.6500000001,1301584.0399999998,1368129.8400000001,1331669.5000000000,1235064.2400000000,1390802.3999999999,1308346.0399999998,1288327.1199999999,10463266.8300000001,
FS(29),1232504.5000000000,1296701.5999999999,1364336.6799999999,1337807.5000000000,1239474.8000000000,1401893.0000000000,1296948.5600000001,1297139.5600000001,10466806.2000000011,
FS(30),1245864.7000000000,1290616.2399999998,1387502.0500000000,1341302.7500000000,1273055.2000000000,1410765.4800000000,1294835.1199999999,1304133.5600000001,10548075.1000000015,
FS(31),1242683.7000000000,1292809.7999999998,1386418.2900000000,1349231.0000000000,1280873.9199999999,1420505.9199999999,1269096.4399999999,1303014.5200000003,10544633.5899999980,
FS(32),1214690.9000000001,1265071.8799999999,1356614.8900000001,1330731.7500000000,1269847.5200000000,1412019.2000000000,1274681.9600000000,1283571.2000000002,10407229.3000000007,
FS(33),1214849.9500000000,1255307.0000000000,1357698.6500000001,1327407.0000000000,1272854.7200000000,1417805.5999999999,1294231.2799999998,1282871.8000000000,10423026.0000000000,
FS(34),1221530.0500000000,1279082.3599999999,1387637.5200000003,1332522.0000000000,1273155.4399999999,1428799.7600000000,1302836.0000000000,1293642.5600000001,10519205.6899999995,
FS(35),1224392.9500000002,1299673.5199999998,1385740.9400000002,1329623.5000000000,1275761.6799999999,1429185.5199999998,1318762.2799999998,1305252.6000000001,10568392.9900000002,
FS(36),1227892.0500000000,1298399.8399999999,1403893.9199999999,1319990.2500000000,1278367.9199999999,1425617.2399999998,1322687.2400000000,1312946.0000000000,10589794.4600000009,
