代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11914871.6899999995
真實報酬,1914871.6899999995
趨勢值,0.4131687849

選擇檔數,5
找到最佳解世代,3116
找到最佳解實驗,1
Stock#,CAT,DIS,HD,NKE,WMT,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,14674,20195,12093,36317,22742,
剩餘資金,80.5400000001,89.1500000000,59.6600000001,22.8100000000,68.5200000001,
FS(24),2056494.8999999999,2165397.0499999998,2211264.7100000000,2194295.9500000002,2224918.3799999999,10852370.9899999984,
FS(25),2059429.7000000002,2129853.8499999996,2186474.0600000001,2168874.0499999998,2212410.2800000003,10757041.9399999995,
FS(26),2096848.3999999999,2125814.8500000001,2200985.6600000001,2200833.0100000002,2201039.2800000003,10825521.1999999993,
FS(27),2111082.1800000002,2105014.0000000000,2218036.7900000000,2226254.9100000001,2195808.6200000001,10856196.5000000000,
FS(28),2109761.5200000000,2157521.0000000000,2204008.9100000001,2248408.2799999998,2204450.5800000001,10924150.2900000010,
FS(29),2104625.6199999996,2169638.0000000000,2198567.0600000001,2257850.7000000002,2199219.9199999999,10929901.3000000007,
FS(30),2180196.7199999997,2173273.1000000001,2213441.4500000002,2335205.9100000001,2223326.4399999999,11125443.6199999992,
FS(31),2146593.2600000002,2233050.2999999998,2202557.7500000000,2343558.8200000003,2208998.9800000000,11134759.1099999994,
FS(32),2152609.6000000001,2247186.7999999998,2207999.6000000001,2353001.2400000002,2208544.1400000001,11169341.3799999990,
FS(33),2197805.5200000000,2242340.0000000000,2233999.5499999998,2353727.5800000001,2226510.3200000003,11254382.9700000007,
FS(34),2214533.8799999999,2258092.1000000001,2249115.7999999998,2333026.8899999997,2246978.1200000001,11301746.7899999991,
FS(35),2238159.0200000000,2215278.6999999997,2265199.4900000002,2309420.8400000003,2245841.0200000000,11273899.0700000003,
FS(36),2269267.8999999999,2212855.2999999998,2274511.1000000001,2352274.8999999999,2230149.0400000000,11339058.2400000002,
FS(37),2285556.0400000000,2194679.7999999998,2275115.7500000000,2298525.7400000002,2233560.3399999999,11287437.6699999999,
FS(38),2295681.1000000001,2183572.5499999998,2302083.1400000001,2311599.8599999999,2255165.2399999998,11348101.8900000006,
FS(39),2311529.0200000000,2173878.9499999997,2300027.3300000001,2286177.9600000000,2257439.4399999999,11329052.6999999993,
FS(40),2324735.6199999996,2176504.2999999998,2295069.2000000002,2286177.9600000000,2260623.3200000003,11343110.4000000004,
FS(41),2312409.4600000004,2171253.6000000001,2292045.9500000002,2271651.1600000001,2245841.0200000000,11293201.1899999995,
FS(42),2304485.5000000000,2257890.1499999999,2273906.4500000002,2305789.1400000001,2242202.3000000003,11384273.5399999991,
FS(43),2308007.2600000002,2267583.7500000000,2285757.5899999999,2305425.9699999997,2261760.4199999999,11428534.9900000002,
FS(44),2339703.1000000001,2266574.0000000000,2303897.0899999999,2303973.2900000000,2263807.2000000002,11477954.6799999997,
FS(45),2376681.5800000001,2254255.0499999998,2327962.1600000001,2323584.4699999997,2277224.9800000000,11559708.2399999984,
FS(46),2436404.7600000002,2221943.0499999998,2322399.3799999999,2344285.1600000001,2310883.1400000001,11635915.4899999984,
FS(47),2442274.3600000003,2220327.4499999997,2335217.9600000000,2327579.3400000003,2283137.8999999999,11608537.0099999998,
FS(48),2434056.9199999999,2210835.7999999998,2319497.0600000001,2332300.5499999998,2266763.6600000001,11563453.9900000002,
FS(49),2482921.3399999999,2241532.1999999997,2354324.9000000004,2334842.7400000002,2274723.3599999999,11688344.5399999991,
FS(50),2499062.7400000002,2271420.7999999998,2375366.7200000002,2348643.2000000002,2294054.0600000001,11788547.5200000014,
FS(51),2484535.4800000000,2235473.6999999997,2374036.4900000002,2303246.9500000002,2289960.5000000000,11687253.1200000010,
FS(52),2472649.5400000000,2261323.2999999998,2416482.9199999999,2317410.5800000001,2335671.9199999999,11803538.2599999998,
FS(53),2477491.9600000004,2230021.0499999998,2398464.3500000001,2328305.6800000002,2372059.1200000001,11806342.1600000001,
FS(54),2500676.8799999999,2233454.2000000002,2434743.3500000001,2440888.3799999999,2378654.3000000003,11988417.1099999994,
FS(55),2507720.3999999999,2243753.6499999999,2472594.4400000004,2411108.4399999999,2398212.4199999999,12033389.3499999996,
FS(56),2486296.3600000003,2229819.0999999996,2477915.3600000003,2438346.1899999999,2408446.3200000003,12040823.3300000019,
FS(57),2470301.7000000002,2231636.6499999999,2493878.1200000001,2469578.8100000001,2405944.7000000002,12071339.9800000004,
FS(58),2485415.9199999999,2232646.3999999999,2483599.0700000003,2459046.8799999999,2424365.7199999997,12085073.9899999984,
FS(59),2451518.9800000000,2265766.1999999997,2506092.0499999998,2471031.4900000002,2465073.8999999999,12159482.6200000010,
FS(60),2385779.4600000004,2252639.4500000002,2478157.2200000002,2454325.6699999999,2491454.6200000001,12062356.4199999999,
FS(61),2403094.7799999998,2223760.6000000001,2440547.9900000002,2445246.4199999999,2450064.1800000002,11962713.9699999988,
FS(62),2388714.2600000002,2194679.7999999998,2429543.3600000003,2477568.5499999998,2424365.7199999997,11914871.6899999995,
