代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11482225.5499999989
真實報酬,1482225.5499999989
趨勢值,0.5760161951

選擇檔數,8
找到最佳解世代,2016
找到最佳解實驗,1
Stock#,CAT,CSCO,CVX,DIS,HD,INTC,KO,WMT,
分配資金,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,
張數,10568,38699,11493,12315,8290,35622,27304,15949,
剩餘資金,16.9600000000,22.3000000001,21.3199999999,27.5000000000,33.8000000000,24.0199999999,22.8800000000,76.8699999999,
FS(21),1318057.9199999999,1306113.5500000000,1349644.3099999998,1229803.3999999999,1359759.6000000001,1390706.8999999997,1223242.0799999998,1251275.9199999999,10428603.6800000016,
FS(22),1326406.6400000001,1309983.4500000002,1354126.5799999998,1241256.3500000001,1369293.0999999999,1402818.3799999999,1233890.6399999999,1263556.6499999999,10501331.7899999991,
FS(23),1339405.2799999998,1294116.8599999999,1351368.2599999998,1238300.7500000000,1370287.8999999999,1401393.5000000000,1242354.8799999999,1261483.2800000000,10498710.7099999990,
FS(24),1335812.1599999999,1299921.7100000002,1362861.2599999998,1232882.1499999999,1377168.6000000001,1408161.6799999999,1242900.9600000000,1266586.9599999997,10526295.4800000004,
FS(25),1341413.2000000000,1306113.5500000000,1345047.1099999999,1232389.5499999998,1374930.3000000000,1411723.8799999999,1242081.8399999999,1260047.8699999999,10513747.3000000007,
FS(26),1340884.7999999998,1306500.5400000000,1352862.3499999999,1226232.0499999998,1373769.7000000002,1419916.9399999997,1239897.5199999998,1284449.8399999999,10544513.7400000002,
FS(27),1354728.8799999999,1298373.7500000000,1365389.7199999997,1226355.2000000000,1369210.2000000000,1412436.3199999998,1252457.3599999999,1341866.2399999998,10620817.6699999999,
FS(28),1359061.7600000000,1299921.7100000002,1371481.0099999998,1213670.7500000000,1369956.3000000000,1399968.6199999996,1258737.2800000000,1367384.6399999999,10640182.0699999984,
FS(29),1373751.2800000000,1287151.0400000000,1369297.3399999999,1193720.4500000002,1364484.9000000001,1396050.1999999997,1259010.3199999998,1373285.7699999998,10616751.3000000007,
FS(30),1381360.2400000000,1295277.8300000001,1369527.1999999997,1199262.2000000000,1363490.1000000001,1413148.7599999998,1260921.5999999999,1381579.2500000000,10664567.1800000016,
