代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10896215.2799999993
真實報酬,896215.2799999993
趨勢值,0.3308904653

選擇檔數,7
找到最佳解世代,2354
找到最佳解實驗,1
Stock#,AAPL,CSCO,CVX,DIS,INTC,MCD,VZ,
分配資金,1428571,1428571,1428571,1428571,1428571,1428571,1428571,
張數,16906,62084,11434,17955,54010,14149,30253,
剩餘資金,14.0000000000,18.1599999999,7.0400000000,71.2000000000,6.5000000000,87.9600000001,24.3400000000,
FS(50),1609803.3200000001,1584401.8399999999,1468933.0200000000,1560181.1499999999,1687819.0000000000,1420223.0900000003,1522355.3000000000,10853719.7200000007,
FS(51),1630597.7000000000,1579435.1200000001,1477965.8799999999,1557847.0000000000,1700781.3999999999,1421637.9900000002,1528708.4300000002,10896976.5199999996,
FS(52),1611493.9199999999,1593714.4399999999,1477965.8799999999,1546894.4500000000,1712663.6000000001,1419232.6600000001,1534153.9700000002,10896121.9199999999,
FS(53),1602364.6799999999,1612960.4800000000,1496603.2999999998,1532530.4500000000,1871453.0000000000,1404659.1900000002,1541717.2200000002,11062291.3200000003,
FS(54),1573793.5400000000,1591231.0799999998,1487341.7600000002,1526784.8499999999,1820143.5000000002,1391925.0900000003,1522355.3000000000,10913578.1200000010,
FS(55),1596447.5800000001,1608614.5999999999,1490886.2999999998,1540789.7500000000,1820143.5000000002,1400697.4700000002,1535364.0900000001,10992946.2899999991,
FS(56),1588163.6399999999,1604889.5600000001,1501176.8999999999,1539532.8999999999,1839587.1000000001,1380322.9100000001,1533851.4400000002,10987527.4499999993,
FS(57),1601350.3200000001,1611097.9600000000,1515926.7600000002,1547971.7499999998,1879014.3999999999,1362212.1900000002,1542322.2800000000,11059898.6599999983,
FS(58),1643108.1399999999,1594335.2799999998,1530790.9600000000,1544919.4000000001,1863351.5000000000,1349195.1100000001,1540204.5700000001,11065907.9599999990,
FS(59),1640403.1799999999,1603647.8799999999,1541881.9399999999,1558565.2000000000,1849849.0000000000,1349195.1100000001,1544439.9900000000,11087985.2999999989,
FS(60),1651223.0200000000,1612339.6399999999,1527246.4199999999,1548330.8500000001,1849849.0000000000,1354430.2400000002,1551398.1800000002,11094820.3499999996,
FS(61),1674046.1199999999,1609235.4399999999,1523473.2000000002,1564849.4500000000,1848768.7999999998,1355279.1800000002,1560474.0800000001,11136129.2699999996,
FS(62),1663226.2800000000,1596197.8000000000,1514097.3199999998,1547792.2000000000,1846608.3999999999,1355845.1400000001,1572272.7500000000,11096042.8899999987,
FS(63),1659337.9000000001,1591231.0799999998,1515355.0600000001,1565926.7499999998,1855250.0000000000,1357684.5100000002,1565919.6200000001,11110707.9199999981,
FS(64),1616227.5999999999,1566397.4800000000,1477737.2000000002,1542046.5999999999,1830405.4000000001,1338017.4000000001,1525380.6000000001,10896215.2799999993,
