代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11079919.2700000014
真實報酬,1079919.2700000014
趨勢值,0.2141692925

選擇檔數,8
找到最佳解世代,2206
找到最佳解實驗,1
Stock#,AAPL,DIS,HD,KO,NKE,PFE,PG,VZ,
分配資金,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,
張數,7392,12492,6770,29349,18355,35310,17370,25604,
剩餘資金,12.8000000000,50.4800000000,54.9000000000,26.0899999999,24.5000000001,26.0000000001,54.8000000001,12.7200000000,
FS(16),1383499.5200000000,1300092.9199999999,1265164.8000000003,1240021.3399999999,1308919.5500000000,1261299.2000000000,1285955.9000000001,1249743.9600000000,10294697.1900000013,
FS(17),1392369.9200000002,1285352.3600000001,1263810.8000000000,1244423.6899999997,1309470.2000000000,1270126.7000000000,1288561.4000000001,1244111.0800000001,10298226.1500000004,
FS(18),1390817.6000000001,1275608.5999999999,1267060.4000000001,1242075.7699999998,1324888.4000000001,1267301.8999999999,1281439.7000000000,1245391.2800000000,10294583.6500000022,
FS(19),1393996.1600000001,1276732.8800000001,1265029.4000000001,1244423.6899999997,1326173.2500000000,1259886.8000000000,1290819.5000000000,1242318.8000000000,10299380.4800000004,
FS(20),1388969.6000000001,1245377.9600000000,1252504.9000000001,1252641.4099999999,1301761.1000000001,1260593.0000000000,1286303.3000000000,1234125.5200000000,10222276.7900000010,
FS(21),1386012.8000000000,1249000.6400000001,1266654.2000000002,1265848.4600000000,1325806.1500000001,1272951.5000000000,1300894.1000000001,1244367.1200000001,10311534.9700000025,
FS(22),1381355.8400000001,1242629.7200000000,1262998.4000000001,1262033.0899999999,1317913.5000000000,1268714.3000000000,1271017.7000000002,1220555.3999999999,10227217.9499999993,
FS(23),1406266.8800000001,1241255.5999999999,1268414.4000000001,1265554.9699999997,1335534.3000000000,1280013.5000000000,1275881.3000000000,1224139.9600000000,10297060.9100000020,
FS(24),1418020.1600000001,1252248.5599999998,1295562.1000000003,1276414.0999999999,1355174.1499999999,1287075.5000000000,1288561.4000000001,1224396.0000000000,10397451.9700000007,
FS(25),1428960.3200000001,1248500.9600000000,1299488.7000000002,1265261.4799999997,1359212.2500000000,1286722.3999999999,1284913.7000000000,1228236.5999999999,10401296.4100000020,
FS(26),1433912.9600000000,1273110.2000000000,1310659.2000000002,1275533.6299999999,1372060.7500000000,1284603.8000000000,1291514.3000000000,1239502.3599999999,10480897.2000000011,
FS(27),1430069.1200000001,1280105.7200000000,1328125.8000000000,1274946.6499999997,1372244.3000000000,1288487.9000000001,1316006.0000000002,1254864.7600000000,10544850.2500000000,
FS(28),1417059.2000000000,1298968.6400000001,1342749.0000000002,1289914.6399999999,1374814.0000000000,1294843.7000000000,1340671.4000000001,1259217.4399999999,10618238.0200000014,
FS(29),1413584.9600000000,1303590.6799999999,1351617.7000000000,1295197.4600000000,1369123.9500000000,1281779.0000000000,1346750.9000000001,1262289.9199999999,10623934.5700000003,
FS(30),1421346.5600000001,1303340.8399999999,1362923.6000000001,1303415.1799999997,1363617.4500000002,1281779.0000000000,1341713.5999999999,1249743.9600000000,10627880.1900000013,
FS(31),1409667.2000000000,1328075.0000000000,1356153.6000000001,1296664.9099999999,1360313.5500000000,1278954.2000000000,1328338.7000000000,1213642.3199999998,10571809.4800000004,
FS(32),1410406.4000000001,1358555.4800000000,1351820.8000000000,1279055.5099999998,1371143.0000000000,1276835.5999999999,1320001.0999999999,1224396.0000000000,10592213.8900000006,
FS(33),1395918.0800000001,1359804.6799999999,1357710.7000000002,1294903.9699999997,1392067.7000000000,1283897.6000000001,1344145.3999999999,1230540.9600000000,10658989.0900000017,
