代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11824732.6200000010
真實報酬,1824732.6200000010
趨勢值,0.2051696458

選擇檔數,8
找到最佳解世代,2053
找到最佳解實驗,2
Stock#,AAPL,CSCO,CVX,INTC,MCD,TRV,UNH,XOM,
分配資金,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,
張數,17445,58004,11247,52192,13437,15574,17670,13881,
剩餘資金,65.7499999999,13.8000000000,8.4200000000,1.6000000000,90.2600000001,30.7599999999,24.2000000001,15.9500000000,
FS(27),1337399.4500000000,1265661.0800000001,1300723.9700000000,1292275.5200000003,1326456.5300000000,1299369.5800000001,1371216.2000000002,1307744.9600000000,10500847.2899999991,
FS(28),1322571.2000000000,1248259.8800000001,1287227.5700000001,1282359.0400000000,1308450.9500000002,1286287.4200000002,1360790.9000000004,1299832.7900000000,10395779.7500000000,
FS(29),1307742.9500000000,1238399.2000000002,1283291.1199999999,1278705.6000000001,1311272.7200000000,1287377.5999999999,1337643.2000000002,1297473.0200000000,10341905.4100000001,
FS(30),1312802.0000000000,1247679.8400000001,1294200.7100000000,1289144.0000000000,1311541.4600000000,1301082.7200000002,1356373.4000000004,1309271.8699999999,10422096.0000000000,
FS(31),1324315.7000000000,1254640.3200000001,1307359.7000000000,1295407.0400000000,1307644.7300000000,1307468.0600000001,1378284.2000000002,1314685.4600000000,10489805.2099999990,
FS(32),1323966.8000000000,1254640.3200000001,1295662.8200000001,1305845.4400000002,1291385.9600000000,1295787.5600000001,1412917.4000000001,1301082.0800000001,10481288.3800000008,
FS(33),1317686.6000000001,1266241.1199999999,1299149.3899999999,1327244.1600000001,1298104.4600000000,1296254.7800000000,1440659.3000000003,1312880.9299999999,10558220.7400000021,
FS(34),1327979.1500000001,1255220.3600000001,1300499.0299999998,1313674.2400000002,1282920.6499999999,1304820.4800000000,1437302.0000000002,1309133.0600000001,10531548.9699999988,
FS(35),1343854.1000000001,1251160.0800000001,1302973.3699999999,1311064.6400000001,1292460.9200000002,1306066.3999999999,1436241.8000000003,1313713.7900000000,10557535.0999999996,
FS(36),1358333.4500000000,1295823.1600000001,1316919.6499999999,1328809.9200000002,1288832.9299999999,1308713.9800000000,1433061.2000000002,1317461.6599999999,10647955.9499999993,
FS(37),1345249.7000000000,1294663.0800000001,1323892.7899999998,1324634.5600000001,1287892.3400000001,1299369.5800000001,1440836.0000000002,1314546.6499999999,10631084.6999999993,
FS(38),1339492.8500000001,1277261.8800000001,1323442.9099999999,1320981.1200000001,1292192.1799999999,1300304.0200000000,1431647.6000000001,1335923.3899999999,10621245.9499999993,
FS(39),1337922.8000000000,1295243.1199999999,1332777.9199999999,1337160.6400000001,1306704.1399999999,1308091.0200000000,1442249.6000000003,1356189.6499999999,10716338.8899999987,
FS(40),1337748.3500000001,1300463.4800000002,1337389.1899999999,1347077.1200000001,1317319.3700000001,1325378.1599999999,1448787.5000000000,1355912.0300000000,10770075.2000000011,
FS(41),1349959.8499999999,1339906.2000000002,1338401.4199999999,1356471.6799999999,1315572.5600000001,1314320.6200000001,1446137.0000000002,1356606.0800000001,10817375.4100000020,
FS(42),1352227.7000000002,1333525.7600000000,1342337.8699999999,1351252.4800000002,1311407.0900000001,1318369.8600000001,1442072.9000000001,1359659.8999999999,10810853.5599999987,
FS(43),1342807.3999999999,1339326.1600000001,1338851.3000000000,1378392.3200000001,1312347.6799999999,1323509.2800000000,1453381.7000000002,1359382.2800000000,10847998.1200000010,
FS(44),1325362.3999999999,1317284.6400000001,1336152.0199999998,1365344.3200000001,1315169.4500000002,1326935.5600000001,1440659.3000000003,1351470.1099999999,10778377.8000000007,
FS(45),1304602.8500000001,1325405.2000000002,1319731.3999999999,1382567.6799999999,1303613.6300000001,1323820.7600000000,1432707.8000000000,1343419.1299999999,10735868.4499999993,
FS(46),1304602.8500000001,1330625.5600000001,1324905.0199999998,1404488.3200000001,1317991.2200000000,1319615.7800000000,1425286.4000000001,1352719.3999999999,10780234.5500000007,
FS(47),1321698.9500000002,1341066.2800000000,1339526.1199999999,1408141.7600000000,1321619.2100000000,1336591.4399999999,1438185.5000000002,1351053.6799999999,10857882.9400000013,
FS(48),1304602.8500000001,1313804.3999999999,1312420.8499999999,1379436.1600000001,1336131.1700000002,1323665.0200000000,1413447.5000000000,1343419.1299999999,10726927.0800000001,
FS(49),1295008.1000000001,1302783.6400000001,1316244.8299999998,1366388.1600000001,1334249.9900000000,1328492.9600000000,1395070.7000000002,1342586.2700000000,10680824.6500000022,
FS(50),1300241.6000000001,1325405.2000000002,1335027.3200000001,1386221.1200000001,1345268.3300000001,1331607.7600000000,1399134.8000000003,1358410.6099999999,10781316.7400000002,
FS(51),1290821.2999999998,1327725.3600000001,1353022.5199999998,1397181.4400000002,1354942.9700000000,1337681.6200000001,1404965.9000000004,1369793.0300000000,10836134.1400000006,
FS(52),1293438.0500000000,1335845.9200000002,1370230.4299999999,1405532.1600000001,1354942.9700000000,1351542.4800000000,1381641.5000000002,1387283.0899999999,10880456.5999999996,
FS(53),1308266.2999999998,1346286.6400000001,1391037.3799999999,1411273.2800000000,1347149.5100000000,1349985.0800000001,1339056.8000000003,1393945.9700000000,10887000.9599999990,
FS(54),1323792.3499999999,1357307.3999999999,1397335.7000000000,1406576.0000000000,1339356.0500000000,1345624.3600000001,1324390.7000000002,1401025.2800000000,10895407.8399999999,
FS(55),1325187.9500000000,1364267.8800000001,1394636.4199999999,1400834.8800000001,1334653.0999999999,1353255.6200000001,1338703.4000000004,1393251.9199999999,10904791.1699999999,
FS(56),1307742.9500000000,1363107.8000000000,1402396.8499999999,1396137.6000000001,1332100.0699999998,1372567.3799999999,1331105.3000000000,1395056.4500000000,10900214.4000000004,
FS(57),1415029.7000000000,1353247.1199999999,1398010.5199999998,1396137.6000000001,1341640.3400000001,1379731.4200000002,1353369.5000000002,1388254.7600000000,11025420.9600000009,
