代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11694754.9599999990
真實報酬,1694754.9599999990
趨勢值,0.1249652573

選擇檔數,5
找到最佳解世代,2643
找到最佳解實驗,1
Stock#,KO,MCD,PFE,VZ,XOM,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,70896,28469,129198,67658,32289,
剩餘資金,23.8399999999,52.7500000000,14.9599999999,29.5200000001,19.3400000001,
FS(115),2234665.7599999998,2095371.1499999999,2373382.2200000002,2399858.7799999998,2472710.9600000000,11575988.8699999992,
FS(116),2247427.0399999996,2068894.9800000000,2354002.5200000000,2422185.9199999999,2476908.5299999998,11569418.9899999984,
FS(117),2238210.5600000001,2108466.8900000001,2369506.2799999998,2399182.2000000002,2513395.1000000001,11628761.0300000012,
FS(118),2250262.8799999999,2126117.6700000004,2374674.1999999997,2324758.3999999999,2541486.5299999998,11617299.6799999997,
FS(119),2248136.0000000000,2145191.8999999999,2366922.3199999998,2340996.3200000003,2526310.6999999997,11627557.2400000002,
FS(120),2231120.9600000000,2139782.7900000000,2356586.4800000000,2341672.8999999999,2510489.0899999999,11579652.2200000007,
FS(121),2225449.2799999998,2135512.4399999999,2372090.2399999998,2364676.6200000001,2550204.5600000001,11647933.1400000006,
FS(122),2242464.3199999998,2146045.9699999997,2383718.0600000001,2384297.4399999999,2537611.8500000001,11694137.6400000006,
FS(123),2231829.9199999999,2148892.8700000001,2386302.0200000000,2421509.3399999999,2540517.8599999999,11729052.0099999998,
FS(124),2231829.9199999999,2140067.4800000000,2372090.2399999998,2462780.7199999997,2572161.0799999996,11778929.4400000013,
FS(125),2222613.4399999999,2116722.8999999999,2387594.0000000000,2468869.9399999999,2579264.6599999997,11775064.9400000013,
FS(126),2205598.3999999999,2086261.0700000001,2344958.6599999997,2410684.0600000001,2550527.4499999997,11598029.6400000006,
FS(127),2228285.1199999996,2097363.9800000000,2354002.5200000000,2410007.4800000000,2605095.8599999999,11694754.9599999990,
