代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10846759.3499999996
真實報酬,846759.3499999996
趨勢值,0.0377193323

選擇檔數,2
找到最佳解世代,1964
找到最佳解實驗,1
Stock#,JPM,NKE,
分配資金,5000000,5000000,
張數,80945,101255,
剩餘資金,27.3499999997,28.0999999997,
FS(58),5395011.5999999996,5285539.0999999996,10680550.6999999993,
FS(59),5380441.5000000000,5287564.1999999993,10668005.6999999993,
FS(60),5320542.2000000002,5235924.1499999994,10556466.3499999996,
FS(61),5380441.5000000000,5206560.2000000002,10587001.6999999993,
FS(62),5358586.3499999996,5179221.3499999996,10537807.6999999993,
FS(63),5324589.4499999993,5147832.2999999998,10472421.7500000000,
FS(64),5348872.9499999993,5151882.5000000000,10500755.4499999993,
FS(65),5344016.2499999991,5170108.3999999994,10514124.6499999985,
FS(66),5399058.8499999996,5190359.3999999994,10589418.2499999981,
FS(67),5369109.1999999993,5162007.9999999991,10531117.1999999993,
FS(68),5457339.2500000000,5166058.2000000002,10623397.4499999993,
FS(69),5414438.3999999994,5135681.6999999993,10550120.0999999996,
FS(70),5437912.4500000002,5131631.5000000000,10569543.9499999993,
FS(71),5525333.0499999998,5231873.9500000002,10757207.0000000000,
FS(72),5546378.7499999991,5259212.7999999998,10805591.5499999989,
FS(73),5524523.5999999996,5254150.0499999998,10778673.6499999985,
FS(74),5503477.8999999994,5232886.5000000000,10736364.3999999985,
FS(75),5534237.0000000000,5293639.5000000000,10827876.5000000000,
FS(76),5515619.6499999994,5303765.0000000000,10819384.6499999985,
FS(77),5567424.4499999993,5366543.0999999996,10933967.5499999989,
FS(78),5510762.9499999993,5393881.9500000002,10904644.8999999985,
FS(79),5581994.5499999989,5407045.0999999996,10989039.6499999985,
FS(80),5645941.0999999996,5427296.0999999996,11073237.1999999993,
FS(81),5586851.2499999991,5377681.1499999994,10964532.3999999985,
FS(82),5556901.5999999996,5327053.6499999994,10883955.2500000000,
FS(83),5581185.0999999996,5554877.3999999994,11136062.5000000000,
FS(84),5439531.3499999996,5451597.2999999998,10891128.6500000004,
FS(85),5484860.5499999998,5468810.6499999994,10953671.1999999993,
FS(86),5509953.4999999991,5540701.6999999993,11050655.1999999993,
FS(87),5465433.7499999991,5562977.7999999998,11028411.5499999989,
FS(88),5450054.1999999993,5560952.7000000002,11011006.8999999985,
FS(89),5407153.3499999996,5634868.8499999996,11042022.1999999993,
FS(90),5296258.7000000002,5532601.2999999998,10828860.0000000000,
FS(91),5351301.2999999998,5540701.6999999993,10892003.0000000000,
FS(92),5427389.5999999996,5595379.3999999994,11022768.9999999981,
FS(93),5511572.3999999994,5691571.6499999994,11203144.0499999989,
FS(94),5588470.1500000004,5687521.4500000002,11275991.5999999996,
FS(95),5600611.8999999994,5665245.3499999996,11265857.2500000000,
FS(96),5630561.5499999998,5687521.4500000002,11318083.0000000000,
FS(97),5602230.7999999989,5710810.0999999996,11313040.8999999985,
FS(98),5606278.0499999998,5728023.4499999993,11334301.5000000000,
FS(99),5593326.8499999996,5720935.5999999996,11314262.4499999993,
FS(100),5672652.9499999993,5776625.8499999996,11449278.7999999989,
FS(101),5637037.1499999994,5771563.0999999996,11408600.2500000000,
FS(102),5577947.2999999998,5720935.5999999996,11298882.8999999985,
FS(103),5505096.7999999998,5657144.9499999993,11162241.7500000000,
FS(104),5508334.5999999996,5745236.7999999998,11253571.4000000004,
FS(105),5580375.6499999994,5818140.3999999994,11398516.0499999989,
FS(106),5588470.1500000004,5823203.1499999994,11411673.2999999989,
FS(107),5547188.1999999993,5833328.6499999994,11380516.8499999996,
FS(108),5547188.1999999993,5814090.2000000002,11361278.3999999985,
FS(109),5541522.0499999989,5861680.0499999998,11403202.0999999978,
FS(110),5563377.2000000002,5911295.0000000000,11474672.1999999993,
FS(111),5524523.5999999996,5828265.8999999994,11352789.5000000000,
FS(112),5508334.5999999996,5797889.3999999994,11306223.9999999981,
FS(113),5576328.3999999994,5840416.5000000000,11416744.8999999985,
FS(114),5522904.7000000002,5794851.7499999991,11317756.4499999993,
FS(115),5442769.1499999994,5723973.2500000000,11166742.3999999985,
FS(116),5467862.0999999996,5751312.0999999996,11219174.1999999993,
FS(117),5495383.3999999994,5789789.0000000000,11285172.3999999985,
FS(118),5509953.4999999991,5821178.0499999998,11331131.5499999989,
FS(119),5521285.7999999989,5813077.6499999994,11334363.4499999974,
FS(120),5471909.3499999996,5820165.4999999991,11292074.8499999996,
FS(121),5337540.6499999994,5685496.3499999996,11023036.9999999981,
FS(122),5148129.3499999996,5411095.2999999998,10559224.6499999985,
FS(123),4876963.5999999996,5259212.7999999998,10136176.3999999985,
FS(124),4849442.2999999998,5241999.4500000002,10091441.7500000000,
FS(125),5092277.2999999998,5506275.0000000000,10598552.2999999989,
FS(126),5219360.9500000002,5701697.1499999994,10921058.0999999996,
