代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12216016.6500000004
真實報酬,2216016.6500000004
趨勢值,0.1319846491

選擇檔數,6
找到最佳解世代,1904
找到最佳解實驗,1
Stock#,BA,MRK,MSFT,NKE,UNH,WBA,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,38060,55518,69939,117702,60916,53607,
剩餘資金,18.6000000000,15.6400000000,19.6300000001,5.6800000000,4.2400000000,24.3700000000,
FS(35),2011870.2000000002,1766598.4000000001,1769476.3300000001,1723162.9600000000,1741592.6799999999,1851610.1500000001,10864314.7200000007,
FS(36),2022527.0000000000,1739394.5800000001,1802347.6600000001,1723162.9600000000,1680067.5199999998,1856434.7800000003,10823938.5000000000,
FS(37),1993220.8000000000,1739394.5800000001,1798151.3200000001,1716100.8399999999,1625243.1199999999,1835528.0500000003,10707642.7100000009,
FS(38),1971146.0000000000,1721628.8200000003,1814237.2900000003,1711392.7599999998,1585647.7200000000,1803899.9199999999,10607956.5100000016,
FS(39),1960869.8000000003,1734953.1400000001,1786961.0800000001,1725517.0000000000,1543615.6799999999,1805508.1300000001,10557428.8300000001,
FS(40),2019862.8000000000,1778257.1800000002,1806544.0000000000,1736110.1799999999,1571637.0400000000,1832847.7000000000,10745262.9000000004,
FS(41),2078855.8000000000,1768263.9400000002,1800948.8800000001,1767889.7200000000,1564327.1199999999,2002245.8200000003,10982535.2799999993,
FS(42),2060967.6000000001,1756049.9800000000,1798850.7100000000,1904424.0399999998,1525340.8799999999,2008678.6600000001,11054315.8699999992,
FS(43),1983325.2000000002,1731066.8800000001,1740101.9500000000,1839687.9399999999,1510111.8799999999,2047275.7000000000,10851573.5500000007,
FS(44),1956302.6000000001,1757160.3400000001,1745697.0700000001,1825563.7000000000,1479044.7200000000,2039770.7200000000,10803543.1499999985,
FS(45),1989795.4000000001,1763822.5000000000,1723316.5900000001,1847927.0799999998,1464424.8799999999,2048347.8400000001,10837638.2900000010,
FS(46),1990176.0000000000,1804905.8200000001,1756187.9200000002,1856166.2200000000,1485136.3199999998,2053708.5400000003,10946284.8199999984,
FS(47),1971146.0000000000,1787140.0600000001,1755488.5300000003,1866759.3999999999,1525950.0400000000,2097130.2100000000,11003618.2400000002,
FS(48),1990556.6000000001,1800464.3800000001,1795353.7600000002,1884414.7000000002,1471734.8000000000,2125005.8500000001,11067534.0900000017,
FS(49),2005400.0000000000,1807681.7200000002,1786961.0800000001,1871467.4800000000,1502801.9600000002,2114820.5200000005,11089136.7599999998,
FS(50),1966198.2000000000,1824337.1200000001,1798850.7100000000,1860874.3000000000,1536914.9199999999,2089089.1600000001,11076268.4099999983,
FS(51),1975332.6000000001,1799909.2000000002,1805145.2200000000,1873821.5200000000,1479653.8799999999,2051564.2600000002,10985430.6800000016,
FS(52),1998549.2000000000,1826557.8400000001,1815636.0700000001,1910309.1399999999,1514985.1600000001,2077295.6200000001,11143337.0300000012,
FS(53),1970004.2000000000,1848765.0400000000,1868090.3200000001,1911486.1599999997,1495492.0400000000,2135191.1800000002,11229032.9399999995,
FS(54),2024430.0000000000,1843768.4200000002,1853403.1300000001,1915017.2200000000,1489400.4399999999,2164138.9600000000,11290162.1699999999,
