代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11458143.2300000004
真實報酬,1458143.2300000004
趨勢值,0.1438711444

選擇檔數,6
找到最佳解世代,1936
找到最佳解實驗,1
Stock#,CAT,CSCO,DD,JNJ,MCD,MRK,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,18545,75757,26679,18308,17287,33676,
剩餘資金,26.8499999999,12.0000000000,28.8700000000,88.7600000000,26.3300000001,40.7599999999,
FS(32),1790732.0499999998,1697726.3700000001,1777383.8500000003,1687537.1200000001,1659924.0700000001,1875457.2000000000,10488764.6600000001,
FS(33),1784241.2999999998,1687877.9600000002,1764311.1399999999,1677833.8800000001,1651799.1799999999,1853567.8000000000,10419635.2599999998,
FS(34),1797408.2500000000,1689393.1000000001,1790990.1399999999,1691381.7999999998,1655256.5800000001,1879498.3200000001,10503932.1899999995,
FS(35),1808164.3499999999,1676514.4099999999,1784320.3899999999,1675636.9199999999,1667357.4800000002,1886907.0400000000,10498904.5899999999,
FS(36),1804826.2499999998,1675756.8400000001,1783786.8100000001,1668130.6399999999,1668221.8300000001,1891958.4399999999,10492684.8099999987,
FS(37),1787950.2999999998,1654544.8799999999,1794191.6200000001,1668130.6399999999,1670296.2700000003,1882865.9199999999,10457983.6300000008,
FS(38),1802600.8499999999,1661363.0100000000,1817135.5600000001,1668130.6399999999,1657676.7600000000,1894989.2800000000,10501900.0999999996,
FS(39),1793328.3499999999,1660605.4400000002,1843014.1900000002,1672707.6399999999,1643674.2900000000,1908122.9199999999,10521456.8300000001,
FS(40),1798335.4999999998,1651514.6000000001,1850751.1000000003,1686621.7200000002,1644884.3800000001,1919236.0000000000,10551347.3000000007,
FS(41),1786095.7999999998,1634090.4900000000,1840346.2900000003,1676369.2400000000,1630536.1699999999,1900040.6800000002,10467482.6700000018,
FS(42),1799262.7499999998,1653029.7400000000,1879297.6300000001,1708957.4800000000,1641945.5900000001,1921593.3200000001,10604090.5100000016,
