代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11702798.6199999973
真實報酬,1702798.6199999973
趨勢值,0.1907011478

選擇檔數,6
找到最佳解世代,2583
找到最佳解實驗,1
Stock#,AAPL,AXP,DD,HD,MCD,PFE,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,11107,19552,18092,11122,10819,50382,
剩餘資金,60.6499999999,53.5200000001,30.9599999999,34.3000000001,107.2400000001,29.4400000001,
FS(65),1877587.9299999999,1867660.5600000001,1863145.1200000001,1843839.4600000000,1805906.5300000000,1766422.3600000003,11024565.9599999990,
FS(66),1853707.8799999997,1872939.6000000001,1889016.6799999999,1839390.6599999999,1800064.2700000000,1776498.7600000000,11031621.8499999996,
FS(67),1867258.4200000002,1876654.4800000000,1856089.2400000000,1809694.9200000002,1818781.1399999999,1786575.1600000001,11015057.3600000013,
FS(68),1916018.1499999999,1885452.8800000001,1833474.2400000000,1828379.8799999999,1824731.5900000001,1791109.5400000000,11079170.2799999993,
FS(69),1935455.3999999999,1882715.6000000001,1809773.7200000000,1826489.1400000001,1840094.5699999998,1779521.6800000002,11074054.1099999994,
FS(70),1941675.3199999998,1864727.7600000000,1832931.4800000000,1820260.8200000001,1847667.8700000001,1781536.9600000002,11088804.2099999990,
FS(71),1957558.3300000001,1860035.2800000000,1824428.2400000000,1824598.4000000001,1840419.1399999999,1780529.3200000003,11087572.7100000009,
FS(72),1953559.8099999998,1833053.5200000000,1809411.8800000001,1815923.2400000002,1806880.2400000000,1773475.8400000003,10992308.5299999993,
FS(73),1940120.3399999999,1828556.5600000001,1802717.8400000001,1825265.7200000002,1791625.4500000000,1772468.2000000002,10960758.1099999994,
FS(74),1932345.4399999999,1835986.3200000001,1815382.2400000000,1839057.0000000000,1810883.2700000000,1778514.0400000000,11012172.3099999987,
FS(75),1903134.0300000000,1833249.0400000000,1766714.7600000000,1869197.6200000001,1818889.3300000001,1782544.6000000003,10973733.3800000008,
FS(76),1878032.2100000000,1823473.0400000000,1777027.2000000000,1840391.6400000001,1810342.3199999998,1781536.9600000002,10910807.3699999992,
FS(77),1900468.3499999999,1829338.6400000001,1820990.7600000000,1862969.3000000000,1818672.9500000000,1791613.3600000003,11024057.3599999994,
FS(78),1889916.7000000000,1831880.3999999999,1822619.0399999998,1865638.5800000001,1803850.9199999999,1782040.7800000000,10995950.4199999999,
FS(79),1888028.5099999998,1836963.9200000002,1825513.7600000000,1895779.2000000000,1806122.9100000001,1781033.1400000004,11033445.4399999976,
FS(80),1923126.6299999997,1845957.8399999999,1836007.1200000001,1922583.2200000002,1820944.9400000002,1790605.7200000002,11139229.4699999988,
FS(81),1943341.3699999999,1834422.1599999999,1819000.6400000001,1913685.6200000001,1829059.1900000002,1785063.7000000002,11124576.6799999997,
FS(82),1943452.4399999999,1827774.4800000000,1833474.2400000000,1916688.5600000003,1829708.3300000001,1788086.6200000003,11139188.6699999999,
FS(83),1933678.2800000000,1827578.9600000000,1806879.0000000000,1937041.8200000001,1828085.4800000000,1788086.6200000003,11121354.1599999983,
FS(84),1922349.1399999999,1862968.0800000001,1831665.0399999998,1963845.8400000001,1853834.7000000000,1806224.1400000004,11240890.9399999995,
FS(85),1882475.0099999998,1888776.7200000000,1849395.2000000000,1971408.8000000000,1843989.4100000001,1824361.6600000001,11260410.8000000007,
FS(86),1908798.5999999999,1910479.4399999999,1854099.1200000001,1999992.3400000001,1860650.6699999999,1826880.7600000000,11360904.9299999997,
FS(87),1899913.0000000000,1913412.2400000000,1829494.0000000000,2006665.5399999998,1870387.7700000000,1831415.1400000004,11351291.6899999995,
FS(88),1886029.2500000000,1927685.2000000002,1858441.2000000000,2056492.1000000001,1846369.5900000001,1816804.3600000003,11391825.6999999993,
FS(89),1884252.1299999997,1930031.4399999999,1843243.9199999999,2033692.0000000000,1871686.0500000000,1795140.1000000003,11358049.6399999987,
FS(90),1877254.7199999997,1920255.4399999999,1831303.2000000000,2010891.9000000001,1876987.3599999999,1791613.3600000003,11308309.9799999986,
FS(91),1880697.8899999999,1927489.6799999999,1838901.8400000001,2024238.3000000000,1870820.5300000000,1788590.4400000002,11330742.6799999997,
FS(92),1881253.2400000000,1926903.1199999999,1822438.1200000001,2039920.3200000001,1873417.0900000001,1800682.1200000003,11344618.0099999979,
FS(93),1917906.3399999999,1935701.5200000000,1824428.2400000000,2027018.8000000000,1874498.9900000000,1824361.6600000001,11403919.5499999989,
FS(94),1907132.5499999998,1942935.7600000000,1823885.4800000000,2022013.9000000001,1863463.6099999999,1843003.0000000000,11402438.3000000007,
FS(95),1913463.5400000000,1911848.0800000001,1817915.1200000001,2035693.9600000000,1877744.6900000002,1846025.9200000002,11402695.3100000005,
FS(96),1912908.1899999999,1899530.3200000001,1811763.8400000001,2025684.1599999999,1873308.8999999999,1836957.1600000001,11360156.5700000003,
FS(97),1932345.4399999999,1926316.5600000001,1803622.4399999999,2030689.0600000003,1883262.3800000001,1874239.8400000003,11450479.7199999988,
FS(98),1959557.5899999999,1948996.8800000001,1839444.6000000001,2054601.3599999999,1884777.0399999998,1870713.1000000003,11558094.5700000003,
FS(99),1938676.4299999999,1938634.3200000001,1840168.2799999998,2068503.8599999999,1876013.6499999999,1861140.5200000000,11523141.0599999987,
FS(100),1936566.0999999999,1926121.0400000000,1836368.9600000000,2083296.1200000001,1862814.4699999997,1836957.1600000001,11482127.8500000015,
FS(101),1943896.7199999997,1925925.5200000000,1845776.7999999998,2091860.0600000003,1859352.3899999999,1825873.1200000003,11492688.6099999994,
FS(102),1943896.7199999997,1930618.0000000000,1857898.4399999999,2092416.1599999999,1854700.2199999997,1820834.9200000002,11500368.4599999990,
FS(103),1894581.6399999999,1927294.1599999999,1840711.0399999998,2117218.2200000002,1853293.7500000000,1824361.6600000001,11457464.4700000007,
FS(104),1894914.8499999999,1938243.2800000000,1840711.0399999998,2115327.4800000004,1868223.9699999997,1830407.5000000000,11487832.1199999992,
FS(105),1900246.2100000000,1949387.9200000002,1842520.2400000000,2110767.4600000004,1872876.1399999999,1832422.7800000000,11508224.7500000000,
FS(106),1879698.2599999998,1941762.6400000001,1834921.6000000001,2107986.9600000004,1862273.5200000000,1824865.4800000002,11451512.4599999990,
FS(107),1913352.4699999997,1934528.3999999999,1852470.8400000001,2091303.9600000000,1874174.4199999999,1835949.5200000000,11501783.6099999994,
FS(108),1913019.2599999998,1946455.1199999999,1882141.7200000000,2102203.5200000000,1866276.5500000000,1849552.6600000001,11559652.8300000001,
FS(109),1921904.8599999999,1971872.7200000000,1918144.7999999998,2118886.5200000000,1879367.5399999998,1853583.2200000002,11663763.6599999983,
FS(110),1943785.6499999999,1976369.6799999999,1943292.6799999999,2141019.3000000003,1883154.1900000002,1857109.9600000002,11744735.4599999990,
FS(111),1936566.0999999999,1958186.3200000001,1936417.7200000000,2135903.1800000002,1881855.9100000001,1836453.3400000003,11685386.5700000003,
FS(112),1936343.9600000000,1965420.5600000001,1941121.6400000001,2147692.5000000000,1877636.5000000000,1834438.0600000001,11702657.2199999988,
FS(113),1935899.6799999999,1979106.9600000000,1911812.6000000001,2133233.9000000004,1877311.9299999999,1837460.9800000002,11674830.0499999989,
FS(114),1946895.6099999999,1969526.4800000000,1938046.0000000000,2165265.2600000002,1876013.6499999999,1841995.3600000003,11737746.3599999994,
FS(115),1966999.2800000000,1974218.9600000000,1942930.8400000001,2184617.5400000000,1877961.0699999998,1840987.7200000002,11787719.4099999983,
FS(116),1957002.9800000000,1961901.2000000002,1931171.0399999998,2183394.1200000001,1879151.1600000001,1844010.6400000004,11756635.1399999987,
FS(117),1989324.3499999999,1970113.0400000000,1952157.7600000000,2222432.3400000003,1893215.8599999999,1873232.2000000002,11900479.5499999989,
FS(118),1991101.4699999997,1952516.2400000000,1958851.7999999998,2205860.5600000005,1888780.0699999998,1863659.6200000003,11860773.7599999979,
FS(119),1982215.8699999999,1916736.0800000001,1958489.9600000000,2239226.5600000005,1905549.5200000000,1861140.5200000000,11863362.5099999979,
FS(120),1965999.6499999999,1922406.1599999999,1962832.0399999998,2274038.4200000004,1906523.2300000000,1860636.7000000002,11892440.1999999993,
FS(121),1966443.9299999999,1915758.4800000000,1961746.5200000000,2278932.1000000006,1913014.6300000001,1855094.6800000002,11890994.3399999999,
FS(122),1935122.1899999999,1941567.1199999999,1958489.9600000000,2293613.1400000001,1905549.5200000000,1860636.7000000002,11894982.6299999990,
FS(123),1900579.4200000002,1949192.3999999999,1974953.6799999999,2284159.4400000004,1900572.7800000000,1875751.3000000000,11885213.0199999977,
FS(124),1905022.2199999997,1948019.2800000000,1984361.5200000000,2304846.3600000003,1929784.0800000001,1965431.2600000000,12037468.7199999988,
