代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11625148.3300000019
真實報酬,1625148.3300000019
趨勢值,0.1888209745

選擇檔數,8
找到最佳解世代,2868
找到最佳解實驗,1
Stock#,AXP,BA,HD,JNJ,MCD,MRK,UNH,V,
分配資金,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,
張數,15776,6853,8105,10134,8855,20038,7159,13697,
剩餘資金,67.5199999999,81.3300000001,127.9499999999,72.4400000000,116.7499999999,29.5599999999,110.1900000000,11.7799999999,
FS(14),1205038.3999999999,1215803.5300000000,1262076.4500000000,1286786.4199999999,1301890.2999999998,1280257.3800000001,1227520.7399999998,1256163.6499999999,10035536.8699999992,
FS(15),1211664.3200000001,1238829.6100000001,1266939.4500000000,1287090.4399999999,1311985.0000000000,1278053.2000000002,1235682.0000000000,1266710.3400000001,10096954.3599999994,
FS(16),1214504.0000000000,1258771.8400000001,1264183.7500000000,1289725.2800000000,1312339.2000000000,1283263.0800000001,1250787.4899999998,1278078.8500000001,10151653.4900000002,
FS(17),1217974.7200000000,1257538.3000000000,1255025.1000000001,1292360.1199999999,1309062.8499999999,1293482.4600000000,1254510.1699999999,1285612.2000000000,10165565.9199999999,
FS(18),1216712.6400000001,1269599.5800000001,1256402.9500000000,1292258.7800000000,1323939.2500000000,1301096.9000000001,1257159.0000000000,1298624.3500000001,10215793.4499999993,
FS(19),1221760.9600000000,1282072.0400000000,1268236.2500000000,1292461.4600000000,1326418.6499999999,1303301.0800000001,1274770.1400000001,1301774.6600000001,10270795.2400000002,
FS(20),1222076.4800000000,1278782.6000000001,1255592.4500000000,1286279.7200000000,1327127.0500000000,1300896.5200000000,1270832.6899999999,1296706.7700000000,10238294.2799999993,
FS(21),1216239.3600000001,1280769.9700000000,1247325.3499999999,1288205.1799999999,1327746.9000000001,1300095.0000000000,1264318.0000000000,1297391.6200000001,10222091.3799999990,
FS(22),1213872.9600000000,1285909.7200000000,1244326.4999999998,1299757.9399999999,1336247.7000000000,1304703.7400000000,1254223.8100000001,1304377.0900000001,10243419.4599999990,
FS(23),1235012.8000000000,1283785.2900000000,1257618.7000000000,1305128.9600000000,1349530.2000000000,1307709.4400000002,1285723.4100000001,1306705.5800000001,10331214.3800000008,
FS(24),1238325.7600000000,1303727.5200000000,1259239.7000000000,1318303.1600000001,1361484.4500000002,1311917.4199999999,1284363.2000000000,1316978.3300000001,10394339.5400000010,
FS(25),1245898.2400000000,1294955.6799999999,1254700.8999999999,1321140.6800000002,1353072.2000000000,1303902.2200000000,1284220.0200000000,1322457.1299999999,10380347.0699999984,
FS(26),1244005.1199999999,1279879.0800000001,1249918.9500000000,1325903.6600000001,1339258.3999999999,1295887.0200000000,1294600.5699999998,1312047.4100000001,10341500.2100000009,
FS(27),1259150.0800000001,1289130.6300000001,1256078.7500000000,1325092.9399999999,1345545.4500000000,1283663.8400000001,1311710.5800000001,1316156.5100000000,10386528.7800000012,
FS(28),1261358.7200000000,1301671.6200000001,1244245.4500000000,1323066.1400000001,1341029.4000000001,1266431.1600000001,1300828.8999999999,1316156.5100000000,10354787.9000000004,
FS(29),1267038.0800000001,1302356.9200000002,1239868.7500000000,1332997.4600000000,1341472.1499999999,1290276.3800000001,1299182.3300000001,1295200.1000000001,10368392.1699999999,
FS(30),1264829.4399999999,1302151.3300000001,1233546.8500000001,1335936.3199999998,1314818.6000000001,1290276.3800000001,1283360.9399999999,1280681.2800000000,10305601.1400000006,
FS(31),1271455.3600000001,1309621.1000000001,1248216.9000000001,1337963.1200000001,1326772.8499999999,1267833.8200000001,1296247.1400000001,1302322.5400000000,10360432.8299999982,
FS(32),1275399.3600000001,1318461.4700000000,1270667.7499999998,1345563.6200000001,1334388.1500000001,1269837.6200000001,1305625.4299999999,1305609.8199999998,10425553.2199999988,
FS(33),1273190.7200000000,1339500.1799999999,1270748.8000000000,1348299.7999999998,1338727.0999999999,1266230.7800000000,1291450.6099999999,1289858.2700000000,10418006.2599999998,
