代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12417546.8000000007
真實報酬,2417546.8000000007
趨勢值,0.1564129423

選擇檔數,7
找到最佳解世代,1709
找到最佳解實驗,1
Stock#,AXP,BA,CSCO,JNJ,MRK,UNH,VZ,
分配資金,1428571,1428571,1428571,1428571,1428571,1428571,1428571,
張數,23845,19080,68582,19258,34151,25615,32059,
剩餘資金,17.0500000001,51.3999999999,7.9400000001,12.5599999999,34.6700000001,22.4499999999,21.9599999999,
FS(82),1815575.3500000001,1918354.6000000001,1671351.2800000003,1656007.9799999997,1607522.2400000002,1656288.3499999999,1573477.6799999999,11898580.4800000004,
FS(83),1805322.0000000000,1889352.9999999998,1654205.7800000003,1621151.0000000000,1594886.3700000003,1604289.8999999999,1554242.2799999998,11723453.3299999982,
FS(84),1823444.2000000000,1922170.5999999999,1672037.1000000001,1631357.7399999998,1654650.6200000003,1608644.4500000000,1560012.8999999999,11872320.6099999975,
FS(85),1813667.7500000000,1900610.2000000000,1670665.4600000002,1619610.3599999996,1688460.1100000001,1597373.8499999999,1565783.5200000000,11856174.2500000000,
FS(86),1782669.2500000002,1879240.5999999999,1667922.1800000002,1611522.0000000000,1664212.9000000001,1581748.7000000000,1548471.6599999999,11735790.2899999991,
FS(87),1817959.8499999999,1903472.2000000000,1683696.0400000003,1626543.2399999998,1659773.2700000003,1586103.2500000000,1602010.1899999999,11879561.0400000010,
FS(88),1860880.8500000001,1955560.5999999999,1679581.1200000001,1635209.3399999999,1645771.3600000001,1602753.0000000000,1610666.1200000001,11990425.3900000006,
FS(89),1866603.6500000001,1950790.5999999999,1670665.4600000002,1639638.6799999999,1654992.1300000001,1631185.6499999999,1619963.2300000000,12033842.3999999985,
FS(90),1824636.4500000000,1941441.3999999999,1650776.6800000002,1630972.5799999998,1624256.2300000002,1637589.3999999999,1608742.5799999998,11918418.3199999966,
FS(91),1781715.4500000000,1924841.7999999998,1645290.1200000001,1612677.4799999997,1613669.4200000002,1635027.8999999999,1599766.0599999998,11812991.2299999967,
FS(92),1793399.5000000000,1949264.2000000000,1669979.6400000004,1635209.3399999999,1635867.5700000001,1643224.7000000002,1623489.7200000000,11950437.6699999999,
FS(93),1739986.7000000000,1942967.7999999998,1652148.3200000001,1635209.3399999999,1637575.1200000003,1634259.4500000000,1637275.0900000001,11879424.8200000003,
FS(94),1760731.8500000001,1965863.7999999998,1693983.3400000001,1649075.0999999996,1632452.4700000000,1648860.0000000000,1625733.8500000001,11976703.4100000020,
FS(95),1787915.1500000001,1985897.7999999998,1702213.1800000002,1663133.4399999997,1630744.9200000002,1682415.6500000001,1652663.4099999999,12104986.5499999989,
FS(96),1770031.4000000001,1950981.3999999999,1692611.7000000002,1634246.4399999997,1624939.2500000000,1671657.3500000001,1604574.9099999999,11949045.4499999993,
FS(97),1738794.4500000002,1901182.5999999999,1676152.0200000003,1591108.5200000000,1581567.4800000002,1634259.4500000000,1569630.6000000001,11692698.1200000010,
FS(98),1748094.0000000000,1907669.8000000000,1678895.3000000003,1602278.1599999999,1605131.6700000002,1636820.9500000000,1587583.6400000001,11766476.5199999977,
FS(99),1717095.5000000002,1867029.3999999999,1650090.8600000001,1629431.9399999997,1584982.5800000001,1656032.2000000002,1574760.0399999998,11679425.5199999996,
FS(100),1746186.4000000001,1882675.0000000000,1646661.7600000002,1643682.8599999996,1578835.4000000001,1632466.3999999999,1617077.9199999999,11747588.7399999984,
FS(101),1762162.5500000003,1922361.3999999999,1672722.9200000002,1675265.9799999997,1594544.8600000001,1659362.1499999999,1624130.8999999999,11910553.7599999979,
FS(102),1791253.4500000002,1968153.3999999999,1689182.6000000001,1669873.7399999998,1614693.9500000002,1692917.8000000000,1635030.9600000000,12061108.8999999985,
FS(103),1782669.2500000002,1954606.5999999999,1669293.8200000001,1653504.4399999997,1586348.6200000003,1677292.6500000001,1613872.0200000000,11937590.3999999985,
FS(104),1803652.8500000001,1969870.5999999999,1669293.8200000001,1668333.0999999996,1581908.9900000002,1681134.8999999999,1614513.2000000000,11988710.4599999990,
FS(105),1779330.9500000002,1936099.0000000000,1667922.1800000002,1667177.6199999996,1589763.7200000000,1671913.4999999998,1623169.1300000001,11935379.0999999996,
