代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12232283.3799999990
真實報酬,2232283.3799999990
趨勢值,0.1459885142

選擇檔數,6
找到最佳解世代,2487
找到最佳解實驗,1
Stock#,AAPL,BA,KO,MCD,MMM,UNH,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,12944,10164,40394,13614,9514,10243,
剩餘資金,126.0000000000,74.9200000000,9.5600000001,40.1200000000,98.6200000001,27.4699999999,
FS(54),1821087.9200000002,1813332.5200000000,1746242.1799999999,1805801.0799999996,1806141.2400000002,1733655.2200000000,10726264.1600000001,
FS(55),1843869.3599999999,1822480.1200000001,1740587.0200000003,1814377.8999999999,1818794.8600000001,1757111.6899999999,10797224.9500000011,
FS(56),1841668.8800000001,1833457.2400000000,1739779.1400000001,1816283.8599999999,1822029.6200000001,1753219.3499999999,10806442.0899999999,
FS(57),1859402.1599999999,1850532.7600000000,1748261.8800000001,1827447.3399999999,1848002.8400000001,1765203.6600000001,10898854.6399999987,
FS(58),1870922.3200000001,1865270.5599999998,1741394.9000000001,1929143.9199999997,1856565.4400000002,1782719.1899999999,11046020.3300000001,
FS(59),1859919.9200000002,1846975.3600000001,1746646.1200000001,1917435.8799999999,1855328.6200000001,1786201.8099999998,11012511.7099999990,
FS(60),1861343.7600000000,1862323.0000000000,1737355.5000000000,1917844.3000000000,1865889.1600000001,1788762.5599999998,11033522.2799999993,
FS(61),1859531.6000000001,1878687.0400000000,1743010.6599999999,1905047.1399999999,1863225.2400000002,1791323.3099999998,11040828.9900000002,
FS(62),1897457.5200000003,1853886.8799999999,1745838.2400000000,1921656.2200000000,1853520.9600000002,1788352.8400000001,11060716.6599999983,
FS(63),1909495.4399999999,1864559.0799999998,1752705.2200000000,1922745.3399999999,1869885.0400000000,1783743.4899999998,11103137.6099999994,
FS(64),1903670.6400000001,1864050.8799999999,1749877.6400000001,1941668.8000000000,1880350.4400000002,1767354.6899999999,11106977.0899999999,
FS(65),1896810.3200000001,1860798.3999999999,1763611.5999999999,1952968.4199999997,1898236.7600000000,1782514.3300000001,11154943.8299999982,
FS(66),1928264.2400000000,1880516.5599999998,1764823.4199999999,1959911.5600000001,1897190.2200000002,1783538.6300000001,11214248.6300000008,
FS(67),1980687.4399999999,1890782.2000000000,1772902.2200000000,1963723.4800000000,1890054.7200000002,1786816.3899999999,11284970.4499999993,
FS(68),1993372.5600000001,1899828.1599999999,1757552.5000000000,1965357.1600000001,1883490.0600000003,1774524.7900000000,11274129.2299999986,
FS(69),1983923.4399999999,1861916.4399999999,1759976.1400000001,1967535.3999999999,1870931.5800000001,1776061.2399999998,11220348.2399999984,
FS(70),1992854.7999999998,1869641.0799999998,1764015.5400000000,1963315.0600000001,1871978.1200000001,1775344.2300000000,11237152.8300000001,
FS(71),2020684.3999999999,1862627.9199999999,1760784.0200000003,1978971.1600000001,1870265.6000000001,1759877.3000000000,11253214.4000000004,
FS(72),2015506.7999999998,1853886.8799999999,1766439.1799999999,1991496.0399999998,1880350.4400000002,1757009.2600000000,11264692.5999999978,
FS(73),2012529.6799999999,1857037.7199999997,1771286.4600000002,2005246.1799999997,1883014.3600000001,1722080.6300000001,11251199.0299999993,
FS(74),1944962.0000000000,1817194.8399999999,1774517.9800000000,1993265.8599999999,1853806.3800000001,1729660.4500000002,11113411.5099999998,
FS(75),1974603.7600000000,1803168.5200000000,1769266.7600000000,2001434.2599999998,1857611.9800000002,1756189.8199999998,11162279.0999999978,
FS(76),1981334.6400000001,1837319.5599999998,1773306.1599999999,2016954.2200000000,1862939.8200000003,1767866.8400000001,11239725.2399999984,
FS(77),1993372.5600000001,1866896.7999999998,1784616.4800000000,2017498.7799999998,1888722.7600000000,1789479.5699999998,11340590.9499999993,
FS(78),1990913.2000000002,1865067.2800000000,1793099.2200000000,2012461.5999999999,1881301.8400000001,1794805.9299999999,11337653.0700000003,
FS(79),1984958.9600000000,1882955.9199999999,1818951.3800000001,2035333.1199999999,1879018.4800000002,1798595.8400000001,11399817.6999999993,
FS(80),1991819.2800000000,1901454.3999999999,1834301.0999999999,2039145.0399999998,1898522.1799999999,1823793.6200000001,11489039.6199999992,
FS(81),1988453.8400000001,1896575.6799999999,1833493.2200000000,2040234.1600000001,1909273.0000000000,1818159.9700000000,11486193.8699999992,
FS(82),1989230.4799999997,1899523.2400000000,1835108.9800000000,2041187.1399999999,1926112.7800000000,1808838.8400000001,11500005.4599999990,
FS(83),1977451.4399999999,1907146.2400000000,1836724.7400000000,2054256.5799999996,1945426.2000000002,1794396.2100000000,11515405.4099999983,
FS(84),1982887.9200000002,1903995.3999999999,1849650.8200000001,2074677.5799999996,1944284.5200000000,1839465.4100000001,11594965.6499999985,
FS(85),2012270.7999999998,1933572.6399999999,1853690.2200000000,2093056.4800000000,1966642.4199999999,1837519.2399999998,11696755.7999999989,
FS(86),1992595.9200000002,1920562.7199999997,1857729.6200000001,2080123.1799999997,1962075.7000000002,1837314.3800000001,11650405.5199999996,
FS(87),1999326.7999999998,1898201.9199999999,1857325.6799999999,2058885.3399999999,1954369.3600000001,1852166.7300000000,11620279.8299999982,
FS(88),2011235.2800000000,1911923.3199999998,1838340.5000000000,2068551.2799999998,1950563.7600000000,1876647.5000000000,11657265.6399999987,
FS(89),2006316.5600000001,1930523.4399999999,1822990.7800000003,2061608.1399999999,1959411.7800000000,1861078.1399999999,11641932.8399999999,
FS(90),1928523.1199999999,1931539.8399999999,1830665.6400000001,2062288.8399999999,1968830.6400000001,1858722.2500000000,11580574.3299999982,
FS(91),1882442.4799999997,1931234.9199999999,1831069.5800000001,2021310.7000000000,1973207.0800000001,1836085.2200000000,11475353.9799999986,
FS(92),1897586.9600000000,1942313.6799999999,1818951.3800000001,2039689.5999999999,1989571.1600000001,1854522.6200000001,11542639.4000000004,
FS(93),1879077.0400000000,1955425.2400000000,1829857.7600000000,2051397.6399999999,1998133.7600000000,1867940.9500000002,11581836.3900000006,
FS(94),1867815.7600000000,1986628.7199999997,1827838.0600000001,2058068.4999999998,2010311.6799999999,1847659.8099999998,11598326.5299999993,
FS(95),1841668.8800000001,1996691.0799999998,1830261.7000000002,2069231.9800000000,2028863.9800000002,1860463.5599999998,11627185.1799999997,
FS(96),1894350.9600000000,2023524.0400000000,1833089.2800000003,2084888.0799999996,2030005.6600000001,1874701.3300000001,11740563.3499999996,
FS(97),1877135.4399999999,2015901.0400000000,1842379.9000000001,2097549.1000000001,2030005.6600000001,1877262.0800000001,11740237.2199999988,
FS(98),1888267.2800000000,2024438.7999999998,1826626.2400000000,2092920.3399999999,2025248.6600000001,1894163.0299999998,11751668.3499999996,
FS(99),1885160.7200000000,2027183.0799999998,1820567.1400000001,2107487.3200000003,2019159.7000000002,1910346.9700000000,11769908.9299999997,
FS(100),1893574.3200000001,2055540.6399999999,1827838.0600000001,2105309.0800000001,2025629.2200000002,1897543.2200000000,11805438.5399999991,
FS(101),1887620.0799999998,2032671.6399999999,1835108.9800000000,2096051.5600000001,2022870.1600000001,1896211.6300000001,11770538.0500000007,
FS(102),1860567.1199999999,2021592.8799999999,1819759.2600000000,2092784.2000000000,1995945.5400000000,1890885.2700000000,11681538.2699999996,
FS(103),1887749.5200000003,2029012.5999999999,1830665.6400000001,2100680.3200000003,2003937.3000000000,1902152.5699999998,11754201.9499999993,
FS(104),1859919.9200000002,2007058.3600000001,1810872.5800000001,2084751.9399999997,1977583.5200000000,1897748.0800000001,11637938.3999999985,
FS(105),1864320.8800000001,2010005.9199999999,1811680.4600000002,2085160.3599999999,1980818.2800000000,1899284.5299999998,11651274.4299999997,
FS(106),1857590.0000000000,2018543.6799999999,1808045.0000000000,2076175.1199999999,1996421.2400000002,1911883.4199999999,11668662.4599999990,
FS(107),1865226.9600000000,2051271.7600000000,1810468.6400000001,2083935.0999999999,1995755.2600000000,1928272.2200000000,11734933.9399999995,
FS(108),1847623.1199999999,2047917.6399999999,1793503.1599999999,2084207.3799999999,1979200.9000000001,1914853.8899999999,11667310.0899999980,
FS(109),1866391.9200000002,2056963.5999999999,1793099.2200000000,2127499.9000000004,1994137.8800000001,1925301.7500000000,11763398.2699999996,
FS(110),1877782.6400000001,2073124.3600000001,1792695.2800000003,2117289.4000000004,2002700.4800000002,1914956.3199999998,11778552.4799999986,
FS(111),1883866.3200000001,2096603.2000000000,1790675.5800000001,2108984.8599999999,1994803.8600000001,1904713.3199999998,11779651.1399999987,
FS(112),1886584.5600000001,2098331.0800000001,1797946.5000000000,2131720.2400000002,2010406.8200000003,1912293.1399999999,11837286.3399999999,
FS(113),1912860.8800000001,2096196.6399999999,1794714.9800000000,2110754.6800000002,2008408.8800000001,1899899.1099999999,11822839.1699999999,
