代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11738978.2699999996
真實報酬,1738978.2699999996
趨勢值,0.1215596507

選擇檔數,6
找到最佳解世代,2467
找到最佳解實驗,1
Stock#,AAPL,BA,DD,MRK,MSFT,V,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,25546,15620,33062,34307,52626,37210,
剩餘資金,44.9600000001,12.0000000000,10.5800000001,31.9400000001,0.5799999999,30.1000000000,
FS(42),1739983.0200000003,1835362.0000000000,1808171.3600000001,1633388.2100000000,1751393.8599999999,1777923.9000000001,10546226.3499999996,
FS(43),1780856.6200000001,1839267.0000000000,1803873.3000000000,1672155.1200000001,1767181.6599999997,1797645.2000000002,10660982.8999999985,
FS(44),1786732.2000000002,1840672.8000000000,1822057.4000000001,1659461.5299999998,1785074.5000000000,1784621.7000000002,10678624.1300000008,
FS(45),1764251.7200000002,1800060.7999999998,1825363.6000000001,1659118.4600000000,1781916.9399999997,1754853.7000000000,10585569.2199999988,
FS(46),1762718.9600000002,1830676.0000000000,1882891.4800000002,1654658.5499999998,1782969.4600000000,1771970.3000000000,10685888.7500000000,
FS(47),1780090.2400000005,1822709.8000000000,1852805.0600000001,1642994.1699999999,1752446.3799999997,1733271.9000000001,10584321.5500000007,
FS(48),1755310.6200000001,1803184.8000000000,1813791.9000000001,1638191.1899999999,1737184.8399999999,1697922.4000000001,10445589.7500000019,
FS(49),1775747.4200000004,1788033.3999999999,1832637.2400000000,1621723.8300000001,1740342.3999999999,1710201.7000000002,10468689.9900000002,
FS(50),1786987.6600000004,1857230.0000000000,1902067.4400000002,1629271.3700000001,1776654.3399999999,1758574.7000000000,10710789.5099999998,
FS(51),1798483.3600000003,1842859.6000000001,1933806.9600000002,1622409.9700000000,1796125.9600000000,1787970.6000000001,10781660.4500000011,
FS(52),1810234.5200000003,1865977.2000000000,1921904.6400000001,1603884.1899999999,1812966.2800000000,1799505.7000000002,10814476.5299999993,
FS(53),1819942.0000000000,1845983.6000000001,1903720.5400000000,1597708.9299999999,1815071.3199999998,1780156.5000000002,10762586.8900000006,
FS(54),1828883.1000000003,1879722.8000000000,1936451.9200000002,1618293.1299999999,1822965.2200000000,1819971.2000000000,10906291.3700000010,
FS(55),1841145.1799999999,1910181.8000000000,1948684.8600000001,1616234.7100000000,1837700.5000000000,1844529.8000000000,10998480.8499999996,
