代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12305768.3200000003
真實報酬,2305768.3200000003
趨勢值,0.1076722303

選擇檔數,2
找到最佳解世代,2089
找到最佳解實驗,1
Stock#,TRV,V,
分配資金,5000000,5000000,
張數,72390,146284,
剩餘資金,22.7000000005,12.8800000000,
FS(113),5956271.9000000004,5798710.6399999997,11754982.5400000010,
FS(114),5974369.4000000004,5781156.5600000005,11755525.9600000009,
FS(115),6022146.7999999998,5705088.8799999999,11727235.6799999997,
FS(116),6069200.3000000007,5826504.5999999996,11895704.9000000004,
FS(117),6062685.2000000002,5770916.6800000006,11833601.8800000008,
FS(118),6058341.7999999998,5854298.5600000005,11912640.3599999994,
FS(119),6035177.0000000009,5997656.8799999999,12032833.8800000008,
FS(120),6034453.1000000006,6124923.9600000000,12159377.0600000005,
FS(121),6035177.0000000009,6168809.1600000001,12203986.1600000001,
FS(122),6094536.7999999998,6211231.5199999996,12305768.3200000003,
