代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12963215.0700000003
真實報酬,2963215.0700000003
趨勢值,0.1168874576

選擇檔數,2
找到最佳解世代,2605
找到最佳解實驗,1
Stock#,BA,UNH,
分配資金,5000000,5000000,
張數,58651,84788,
剩餘資金,2.2500000000,51.6400000001,
FS(108),6095014.1699999999,6082742.7599999988,12177756.9299999997,
FS(109),6158943.7600000007,6152268.9199999999,12311212.6800000016,
FS(110),6238709.1200000001,6219251.4399999995,12457960.5600000005,
FS(111),6255131.4000000004,6277755.1600000001,12532886.5600000024,
FS(112),6221113.8199999994,6279450.9199999999,12500564.7400000002,
FS(113),6286802.9399999995,6295560.6399999997,12582363.5800000001,
FS(114),6344280.9199999999,6327780.0799999991,12672061.0000000000,
FS(115),6406450.9800000004,6374413.4800000004,12780864.4600000009,
FS(116),6439882.0499999998,6337106.7599999988,12776988.8100000005,
FS(117),6529618.0800000001,6315061.8799999999,12844679.9600000009,
FS(118),6784163.4199999999,6369326.2000000002,13153489.6200000010,
FS(119),6868620.8600000003,6300647.9199999999,13169268.7800000012,
FS(120),6944280.6500000004,6192967.1600000001,13137247.8100000024,
FS(121),6981817.2900000000,6006433.5599999996,12988250.8500000015,
FS(122),6840468.3799999999,5983540.7999999989,12824009.1799999997,
FS(123),6892081.2600000007,6089525.7999999989,12981607.0600000005,
FS(124),6979471.2500000000,6131919.7999999989,13111391.0500000007,
FS(125),6950732.2600000007,6103091.8799999999,13053824.1400000025,
FS(126),7001758.6299999999,6118353.7199999997,13120112.3499999996,
FS(127),6964221.9899999993,6103939.7599999988,13068161.7500000000,
FS(128),6891494.7500000000,6071720.3199999994,12963215.0700000003,
