代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12110736.6899999995
真實報酬,2110736.6899999995
趨勢值,0.1745853270

選擇檔數,6
找到最佳解世代,2102
找到最佳解實驗,1
Stock#,AAPL,DIS,KO,MCD,V,WMT,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,15222,16845,41490,14068,22095,23583,
剩餘資金,9.2200000001,21.7000000000,12.6999999999,30.0400000000,40.1499999998,55.3900000000,
FS(19),1777329.9399999999,1756955.2000000000,1717283.8000000000,1725892.2800000000,1730078.6499999999,1634593.1199999999,10342136.9899999984,
FS(20),1776873.2800000000,1761334.8999999999,1725996.7000000000,1727439.7600000000,1730741.4999999998,1633413.9700000000,10355804.1099999994,
FS(21),1763021.2599999998,1755607.5999999999,1720188.1000000001,1712387.0000000000,1723892.0499999998,1630112.3500000001,10305212.3599999994,
FS(22),1768044.5200000000,1786939.2999999998,1734294.6999999997,1682844.2000000002,1756592.6499999999,1619264.1699999999,10347983.5399999972,
FS(23),1766065.6599999999,1809848.5000000000,1728071.2000000000,1680874.6800000002,1770954.4000000001,1628697.3699999999,10384515.8099999987,
FS(24),1775046.6399999999,1808837.7999999998,1732220.2000000000,1683969.6400000001,1791723.7000000000,1632234.8199999998,10424036.7999999989,
FS(25),1794835.2400000000,1835789.8000000000,1731805.3000000000,1698881.7200000002,1816470.0999999999,1609830.9700000000,10487617.1299999990,
FS(26),1811275.0000000000,1825345.8999999999,1714379.5000000000,1694239.2800000000,1806306.3999999999,1620443.3199999998,10471993.3999999985,
FS(27),1813101.6399999999,1825682.7999999998,1702762.2999999998,1691707.0400000000,1796584.5999999999,1609123.4800000000,10438965.8599999994,
FS(28),1822843.7200000000,1843538.5000000000,1703177.1999999997,1700569.8799999999,1807411.1499999999,1616198.3799999999,10493742.8299999982,
FS(29),1815232.7200000000,1811364.5500000000,1699028.2000000002,1717732.8399999999,1797910.3000000000,1602991.8999999999,10444264.5099999998,
FS(30),1812036.1000000001,1820292.3999999999,1696123.9000000001,1709292.0400000000,1793491.3000000000,1583182.1799999997,10414421.9199999981,
FS(31),1826649.2200000000,1818776.3499999999,1710230.5000000000,1726877.0400000000,1795479.8500000001,1613604.2500000000,10491621.2099999990,
FS(32),1826497.0000000000,1821976.8999999999,1713134.7999999998,1726314.3200000001,1802771.2000000000,1606293.5199999998,10496991.7400000002,
FS(33),1823300.3799999999,1807153.3000000000,1706911.3000000000,1718858.2800000000,1805864.5000000000,1594737.8500000001,10456829.6099999994,
FS(34),1826649.2200000000,1813554.3999999999,1714379.5000000000,1719983.7200000002,1808294.9500000000,1584361.3300000001,10467227.1199999992,
FS(35),1827866.9800000000,1804458.1000000001,1718943.3999999999,1707603.8799999999,1815144.4000000001,1571862.3400000001,10445883.0999999996,
FS(36),1826192.5600000001,1817597.2000000000,1738443.7000000000,1702961.4399999999,1839007.0000000000,1589549.5900000001,10513755.4899999984,
FS(37),1855266.5799999998,1819955.5000000000,1747571.4999999998,1713371.7600000000,1853810.6500000001,1577522.2600000000,10567502.2499999981,
FS(38),1856179.8999999999,1820292.3999999999,1734709.6000000001,1714637.8799999999,1839227.9499999997,1573748.9800000000,10538800.7099999990,
FS(39),1856332.1200000001,1841180.2000000000,1719773.2000000002,1728424.5200000000,1850938.2999999998,1548515.1699999999,10545167.5099999998,
FS(40),1851461.0799999998,1868806.0000000000,1716868.9000000001,1730675.3999999999,1849391.6499999999,1566438.2500000000,10583645.2799999993,
FS(41),1847198.9199999999,1863920.9500000000,1724752.0000000000,1724344.8000000000,1827517.5999999999,1573984.8099999998,10561723.0799999982,
FS(42),1959841.7200000000,1874870.2000000000,1711890.0999999999,1722234.6000000001,1821551.9500000000,1561957.4800000000,10652350.0499999989,
FS(43),1956492.8799999999,1863247.1499999999,1717698.7000000000,1733489.0000000000,1818458.6499999999,1573041.4900000000,10662431.8699999973,
FS(44),1964864.9800000002,1858025.2000000000,1723507.2999999998,1747838.3599999999,1901977.7499999998,1568324.8899999999,10764542.4800000004,
FS(45),1983283.5999999999,1845728.3499999999,1724337.1000000001,1750792.6400000001,1896453.9999999998,1565966.5900000001,10766566.2799999975,
