代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11552325.6199999992
真實報酬,1552325.6199999992
趨勢值,0.1159594705

選擇檔數,6
找到最佳解世代,2298
找到最佳解實驗,1
Stock#,AXP,DIS,KO,UNH,VZ,WMT,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,34874,46309,49870,34350,44126,28436,
剩餘資金,37.5400000000,5.0899999999,10.5999999999,3.9999999999,26.9799999999,32.0400000000,
FS(71),1958212.6399999999,2013520.4099999997,1750946.2999999998,1916047.0000000000,1741680.1999999997,1736902.9199999999,11117313.4700000007,
FS(72),1978090.8200000001,2013057.3199999998,1753938.5000000000,1913642.5000000000,1744769.0199999998,1741168.3199999998,11144670.4799999986,
FS(73),1972162.2400000000,2000090.7999999998,1749450.1999999997,1909520.5000000002,1746092.7999999998,1730078.2800000000,11107398.8200000003,
FS(74),1997271.5200000003,2011668.0499999998,1755434.6000000001,1928069.5000000000,1749622.8799999997,1727234.6800000002,11169305.2300000004,
FS(75),1984716.8799999999,2002406.2500000000,1760421.5999999996,1881697.0000000000,1748740.3599999999,1723253.6400000001,11101239.7300000004,
FS(76),1989599.2400000000,2003795.5200000000,1773387.8000000000,1853873.5000000000,1755359.2599999998,1722116.2000000002,11098135.5199999996,
FS(77),1997969.0000000000,2004721.6999999997,1780868.2999999998,1850782.0000000000,1750064.1399999997,1724675.4399999999,11109084.5800000001,
FS(78),1996574.0400000000,2021392.9399999997,1782364.3999999999,1843224.9999999998,1739473.8999999999,1727519.0400000000,11110553.3200000003,
FS(79),2045746.3799999999,2055198.5100000000,1792837.1000000001,1892689.0000000000,1735502.5599999996,1740315.2400000002,11262292.7899999991,
FS(80),2030401.8200000001,2044547.4399999997,1792338.3999999997,1904024.5000000000,1705938.1399999997,1737187.2800000000,11214441.5800000001,
FS(81),2059695.9800000002,2014909.6799999997,1811787.6999999997,1904368.0000000000,1688287.7399999998,1740030.8799999999,11219083.9800000004,
FS(82),2018893.4000000001,1991755.1799999997,1840712.2999999996,1996082.5000000000,1679903.7999999998,1729509.5600000001,11256860.7400000002,
FS(83),2017847.1799999999,2027413.1099999999,1845699.2999999998,2024593.0000000000,1686963.9599999995,1740315.2400000002,11342835.7899999991,
FS(84),2023078.2800000000,2030191.6499999999,1848691.4999999998,2030776.0000000000,1699760.5000000000,1744865.0000000000,11377366.9300000016,
FS(85),2036330.4000000001,2004721.6999999997,1839216.2000000000,2040394.0000000000,1697112.9399999997,1724675.4399999999,11342454.6800000016,
FS(86),2000758.9199999999,1988050.4599999997,1831735.6999999997,2028715.0000000000,1694024.1199999999,1713585.3999999999,11256873.5999999996,
FS(87),2026216.9400000002,1994996.8099999998,1832234.3999999999,2026997.5000000000,1661812.1399999997,1725244.1600000001,11267505.9499999993,
