代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11606564.6600000001
真實報酬,1606564.6600000001
趨勢值,0.0899399398

選擇檔數,3
找到最佳解世代,2815
找到最佳解實驗,1
Stock#,MCD,PG,WMT,
分配資金,3333333,3333333,3333333,
張數,33745,46328,51864,
剩餘資金,1.9000000000,33.3999999999,33.7200000002,
FS(86),4099007.0499999998,3757234.1999999997,3437061.0000000000,11293303.2499999981,
FS(87),4071673.5999999996,3738703.0000000000,3444840.6000000001,11255218.1999999993,
FS(88),3894174.8999999999,3761867.0000000000,3474921.7200000002,11130964.6200000010,
FS(89),3916109.1499999999,3827652.7600000002,3469735.3200000003,11213498.2300000004,
FS(90),3948504.3500000001,3828579.3199999998,3413203.5600000005,11190288.2300000004,
FS(91),3966389.2000000002,3781324.7600000002,3412166.2800000007,11159881.2400000002,
FS(92),3939055.7500000000,3701640.6000000001,3387790.1999999997,11028487.5500000007,
FS(93),3979549.7500000000,3752138.1199999996,3432393.2400000007,11164082.1099999994,
FS(94),4021731.0000000000,3774375.5600000001,3417871.3200000003,11213978.8799999990,
FS(95),4003508.6999999997,3819777.0000000000,3428762.7600000002,11252049.4599999990,
FS(96),3953903.5499999998,3798002.8400000003,3325553.4000000004,11077460.7899999991,
FS(97),3932306.7500000000,3789200.5200000000,3353559.9600000000,11075068.2300000004,
FS(98),3970776.0499999998,3804952.0399999996,3403868.0400000000,11179597.1299999990,
FS(99),3944792.3999999999,3790127.0800000001,3447952.4400000004,11182872.9199999999,
FS(100),3950191.6000000001,3778545.0800000001,3481145.4000000004,11209883.0800000001,
FS(101),3994397.5500000003,3814680.9199999999,3528860.2800000007,11337939.7500000000,
FS(102),3950191.6000000001,3757234.1999999997,3449508.3600000003,11156935.1600000001,
FS(103),3954578.4499999997,3719708.5200000000,3440691.4800000004,11114979.4499999993,
FS(104),4010595.1499999999,3763256.8400000003,3446915.1599999997,11220768.1500000004,
FS(105),3998109.5000000000,3824409.7999999998,3433949.1599999997,11256469.4599999990,
FS(106),3937705.9499999997,3837844.9199999999,3430318.6800000002,11205870.5500000007,
FS(107),3954241.0000000000,3867958.1199999996,3463511.6400000001,11285711.7599999998,
FS(108),3953228.6499999999,3849890.1999999997,3521080.6800000002,11324200.5299999993,
FS(109),3996084.7999999998,3848037.0800000001,3528860.2800000007,11372983.1600000001,
FS(110),4037253.6999999997,3843404.2799999998,3502409.6400000001,11383068.6199999992,
FS(111),4048727.0000000000,3811901.2399999998,3496185.9600000000,11356815.1999999993,
FS(112),4101706.6499999999,3787347.3999999999,3483738.6000000001,11372793.6500000004,
FS(113),4147262.3999999999,3760477.1600000001,3493592.7600000002,11401333.3199999984,
FS(114),4165147.2500000000,3766963.0800000001,3531453.4800000004,11463564.8100000005,
FS(115),4168184.2999999998,3768352.9199999999,3526267.0800000001,11462805.2999999989,
FS(116),4156036.0999999996,3833675.3999999999,3498260.5200000005,11487973.0199999996,
FS(117),4187081.5000000000,3852206.6000000001,3472328.5200000005,11511617.6200000010,
FS(118),4177970.3500000001,3860082.3599999994,3525229.8000000003,11563283.5099999998,
FS(119),4178307.7999999998,3833212.1199999996,3520043.4000000004,11531564.3200000003,
FS(120),4190793.4499999997,3836918.3599999994,3498779.1599999997,11526491.9699999988,
FS(121),4160422.9500000002,3840161.3199999998,3526785.7200000002,11527370.9900000002,
FS(122),4156373.5499999998,3827652.7600000002,3533009.4000000004,11517036.7099999990,
FS(123),4183369.5499999998,3835991.7999999998,3528341.6400000001,11547703.9900000002,
FS(124),4246135.2500000000,3830432.4400000004,3568276.9199999999,11644845.6099999994,
FS(125),4241073.5000000009,3813291.0800000001,3552199.0800000001,11606564.6600000001,
