代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11181284.5000000019
真實報酬,1181284.5000000019
趨勢值,0.0818086677

選擇檔數,3
找到最佳解世代,2724
找到最佳解實驗,1
Stock#,AAPL,PG,UNH,
分配資金,3333333,3333333,3333333,
張數,35597,41167,25233,
剩餘資金,29.9200000000,41.0100000000,53.7000000001,
FS(81),3845573.8300000001,3594331.7800000003,3529393.4100000001,10969300.0200000014,
FS(82),3829199.2099999995,3618620.3100000005,3464544.6000000006,10912365.1200000010,
FS(83),3806773.0999999996,3605446.8700000001,3447386.1600000001,10859607.1300000008,
FS(84),3802501.4599999995,3635087.1100000003,3463787.6100000003,10901377.1800000016,
FS(85),3773311.9199999999,3603800.1900000004,3453694.4100000001,10830807.5200000014,
FS(86),3776871.6199999996,3594331.7800000003,3433003.3500000006,10804207.7500000000,
FS(87),3799297.7300000000,3635498.7800000003,3425181.1200000006,10859978.6300000008,
FS(88),3834894.7300000000,3630970.4100000001,3447133.8300000005,10912999.9700000007,
FS(89),3833826.8199999998,3649083.8900000001,3430984.7100000000,10913896.4200000018,
FS(90),3857320.8399999999,3620678.6600000001,3406256.3700000006,10884256.8700000010,
FS(91),3756225.3599999999,3613680.2700000005,3417611.2200000002,10787517.8500000015,
FS(92),3671148.5299999998,3550283.0899999999,3371687.1600000001,10593119.7800000012,
FS(93),3753377.5999999996,3633028.7600000002,3419882.1900000004,10806289.5500000007,
FS(94),3842726.0699999998,3583628.3600000003,3380014.0499999998,10806369.4800000004,
FS(95),3978706.6099999999,3581981.6800000006,3373453.4700000002,10934142.7600000016,
FS(96),4113975.2099999995,3625207.0300000003,3421900.8300000005,11161084.0700000003,
FS(97),4090837.1600000001,3624795.3600000003,3494067.2100000000,11209700.7300000004,
FS(98),4043137.1799999997,3637968.8000000003,3474133.1400000001,11155240.1200000010,
FS(99),4042781.2099999995,3646613.8700000001,3468834.2100000000,11158230.2900000010,
FS(100),4042069.2700000000,3614503.6100000003,3530402.7300000000,11186976.6100000013,
FS(101),4080158.0600000001,3663492.3399999999,3558916.0200000000,11302567.4199999999,
FS(102),4012167.7899999996,3612856.9300000006,3545542.5299999998,11170568.2500000000,
FS(103),4018219.2799999998,3616561.9600000000,3525608.4600000000,11160390.7000000011,
FS(104),4025694.6499999999,3637557.1300000004,3552607.7700000000,11215860.5500000007,
FS(105),4056308.0699999998,3682840.8300000001,3543019.2300000000,11282169.1300000008,
FS(106),3993301.3800000004,3632205.4200000004,3490282.2600000002,11115790.0600000024,
FS(107),4024270.7700000000,3694779.2600000002,3532673.7000000002,11251724.7300000004,
FS(108),4005404.3599999999,3649907.2300000000,3494571.8700000006,11149884.4600000009,
FS(109),4022490.9199999999,3637145.4600000000,3486244.9800000000,11145882.3600000013,
FS(110),4024270.7700000000,3657728.9600000000,3472114.5000000000,11154115.2300000004,
FS(111),4054172.2500000000,3672960.7500000000,3443601.2100000000,11170735.2100000009,
FS(112),4060223.7400000002,3705071.0100000002,3448395.4800000000,11213691.2300000004,
FS(113),4131061.7700000000,3666374.0300000003,3484226.3400000003,11281663.1400000006,
FS(114),4139961.0200000000,3644967.1900000004,3400200.4500000002,11185129.6600000020,
FS(115),4176981.8999999999,3646202.2000000002,3409032.0000000000,11232217.1000000015,
FS(116),4164166.9800000000,3632617.0899999999,3386069.9700000002,11182855.0400000010,
FS(117),4187305.0299999998,3640438.8200000003,3379257.0600000001,11207001.9100000001,
FS(118),4184457.2700000000,3615738.6200000001,3384555.9900000002,11184752.8800000008,
FS(119),4181609.5099999998,3600095.1600000001,3618213.5699999998,11399919.2400000002,
FS(120),4169150.5600000001,3521466.1900000004,3642941.9100000001,11333559.6600000020,
FS(121),4167014.7400000002,3496354.3200000003,3660605.0100000002,11323975.0700000022,
FS(122),4150640.1199999996,3471654.1200000001,3668174.9100000001,11290470.1500000004,
FS(123),4188016.9700000002,3462185.7100000000,3651016.4700000002,11301220.1500000004,
FS(124),4209375.1699999999,3580335.0000000000,3628054.4400000004,11417765.6100000013,
FS(125),4114687.1499999999,3598036.8100000005,3588943.2900000000,11301668.2500000000,
FS(126),4075174.4800000000,3564279.8700000001,3581625.7200000002,11221081.0700000003,
FS(127),4048120.7599999998,3574983.2900000005,3541505.2500000000,11164610.3000000007,
FS(128),4041713.3000000003,3573336.6100000003,3566233.5900000003,11181284.5000000019,
