代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11829687.3099999987
真實報酬,1829687.3099999987
趨勢值,0.1253909323

選擇檔數,2
找到最佳解世代,2506
找到最佳解實驗,1
Stock#,JNJ,V,
分配資金,5000000,5000000,
張數,74338,155617,
剩餘資金,26.1199999996,25.7899999996,
FS(46),5177667.8199999994,5527541.6300000008,10705209.4500000011,
FS(47),5194022.1799999997,5560221.1999999993,10754243.3800000008,
FS(48),5179897.9600000000,5572670.5600000005,10752568.5200000014,
FS(49),5167260.5000000000,5541547.1600000001,10708807.6600000001,
FS(50),5149419.3799999990,5445064.6200000001,10594484.0000000000,
FS(51),5134551.7799999984,5446620.7900000000,10581172.5700000003,
FS(52),5143472.3399999989,5552440.3499999996,10695912.6899999995,
FS(53),5147932.6199999992,5666040.7599999998,10813973.3799999990,
FS(54),5179154.5799999991,5694051.8200000003,10873206.4000000004,
FS(55),5173207.5399999991,5706501.1800000006,10879708.7200000007,
FS(56),5170977.3999999994,5762523.2999999998,10933500.7000000011,
FS(57),5136038.5399999991,5728287.5600000005,10864326.0999999996,
FS(58),5115223.8999999994,5711169.6900000004,10826393.5900000017,
FS(59),5150906.1399999997,5729843.7300000004,10880749.8700000010,
FS(60),5145702.4799999995,5765635.6399999997,10911338.1199999992,
FS(61),5183614.8599999994,5824770.0999999996,11008384.9600000009,
FS(62),5177667.8199999994,5782753.5099999998,10960421.3300000001,
FS(63),5193278.7999999989,5742293.0899999999,10935571.8899999987,
FS(64),5201455.9799999995,5760967.1300000008,10962423.1100000013,
FS(65),5207403.0199999986,5776528.8300000001,10983931.8499999996,
FS(66),5237138.2199999997,5779641.1699999999,11016779.3900000006,
FS(67),5248288.9199999990,5784309.6800000006,11032598.5999999996,
FS(68),5285457.9199999990,5793646.6999999993,11079104.6199999992,
FS(69),5275050.5999999987,5753186.2800000003,11028236.8799999990,
FS(70),5259439.6199999992,5726731.3899999997,10986171.0099999998,
FS(71),5254979.3399999989,5712725.8600000003,10967705.1999999993,
FS(72),5273563.8399999989,5801427.5499999998,11074991.3900000006,
FS(73),5274307.2199999997,5863674.3499999996,11137981.5700000003,
FS(74),5250519.0599999987,5802983.7199999997,11053502.7799999993,
FS(75),5259439.6199999992,5932145.8300000001,11191585.4499999993,
FS(76),5223757.3799999990,5865230.5199999996,11088987.9000000004,
FS(77),5205172.8799999990,5882348.3899999997,11087521.2699999996,
FS(78),5216323.5799999991,5826326.2699999996,11042649.8499999996,
FS(79),5210376.5399999991,5812320.7400000002,11022697.2800000012,
FS(80),5165030.3599999994,5782753.5099999998,10947783.8699999992,
FS(81),5211119.9199999990,5897910.0899999999,11109030.0099999998,
FS(82),5266130.0399999991,6045746.2400000002,11311876.2800000012,
FS(83),5258696.2399999984,6050414.7500000000,11309110.9900000002,
FS(84),5318910.0199999986,6098656.0199999996,11417566.0399999991,
FS(85),5307759.3199999994,6142228.7800000003,11449988.0999999996,
FS(86),5308502.6999999993,6199807.0700000003,11508309.7700000014,
FS(87),5332290.8599999994,6294733.4400000004,11627024.3000000007,
FS(88),5366486.3399999989,6244936.0000000000,11611422.3399999999,
FS(89),5378380.4199999990,6269834.7199999997,11648215.1400000006,
FS(90),5393991.3999999994,6249604.5099999998,11643595.9100000001,
FS(91),5379867.1799999997,6241823.6600000001,11621690.8399999999,
FS(92),5395478.1599999992,6232486.6399999997,11627964.7999999989,
FS(93),5419266.3199999994,6220037.2800000003,11639303.5999999996,
FS(94),5443797.8599999994,6157790.4800000004,11601588.3399999999,
FS(95),5403655.3399999989,6187357.7100000000,11591013.0499999989,
FS(96),5415549.4199999990,6187357.7100000000,11602907.1299999990,
