代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11954299.8399999999
真實報酬,1954299.8399999999
趨勢值,0.1193153143

選擇檔數,7
找到最佳解世代,2116
找到最佳解實驗,1
Stock#,AAPL,DIS,MRK,PG,VZ,WBA,XOM,
分配資金,1428571,1428571,1428571,1428571,1428571,1428571,1428571,
張數,8448,14277,24639,19852,29262,21836,18564,
剩餘資金,14.2000000000,14.3800000000,1.7800000001,21.0800000001,0.1600000000,59.8800000000,71.1999999999,
FS(44),1581310.8400000001,1503810.7899999998,1489675.7200000000,1551057.8400000001,1475390.2000000000,1334894.5600000001,1517863.8400000001,10454006.7900000010,
FS(45),1553770.3599999999,1485393.4600000000,1495835.4700000000,1546491.8800000001,1483583.5600000001,1326815.2399999998,1526774.5599999998,10418667.5299999993,
FS(46),1566273.3999999999,1503953.5599999998,1518749.7400000000,1572498.0000000000,1500555.5200000000,1362189.5600000001,1528074.0400000000,10552296.8200000003,
FS(47),1587984.7600000000,1495958.4399999999,1532547.5800000001,1574483.2000000002,1506407.9199999999,1382278.6799999999,1528445.3199999998,10608108.8999999985,
FS(48),1610034.0400000000,1513661.9199999999,1528112.5600000001,1545697.8000000000,1484754.0400000000,1391668.1599999999,1539026.8000000000,10612958.3199999984,
FS(49),1608091.0000000000,1513804.6899999999,1535011.4800000000,1584607.7200000000,1502311.2400000000,1380095.0799999998,1553135.4399999999,10677059.6499999985,
FS(50),1587224.4399999999,1542501.4600000000,1525155.8799999999,1571505.3999999999,1502311.2400000000,1390139.6399999999,1533271.9600000000,10652113.0199999996,
FS(51),1613835.6399999999,1545499.6299999999,1543881.5200000000,1566145.3600000001,1499385.0400000000,1394943.5600000001,1535128.3599999999,10698822.1099999994,
FS(52),1616370.0400000000,1570484.3799999999,1549548.4900000000,1574483.2000000002,1504359.5799999998,1423112.0000000000,1546638.0400000000,10784998.7299999986,
FS(53),1612821.8799999999,1573339.7800000000,1542156.7900000000,1578850.6400000001,1509626.7400000000,1422893.6399999999,1531415.5599999998,10771108.0299999993,
FS(54),1617383.7999999998,1574767.4799999997,1540678.4500000000,1588776.6400000001,1504944.8199999998,1433156.5599999998,1528074.0400000000,10787784.7899999991,
FS(55),1608513.3999999999,1580335.5099999998,1550780.4399999999,1582622.5200000000,1496458.8399999999,1444729.6399999999,1526403.2800000000,10789846.6300000008,
FS(56),1621016.4399999999,1600894.3899999999,1540185.6699999999,1562969.0400000000,1485046.6599999999,1417871.3600000001,1522504.8400000001,10750491.4000000004,
FS(57),1617299.3199999998,1591614.3399999999,1540432.0600000001,1561976.4400000002,1481242.5999999999,1418963.1599999999,1511180.8000000000,10722711.7199999988,
FS(58),1617299.3199999998,1586046.3099999998,1544620.6899999999,1558601.6000000001,1485046.6599999999,1426824.1199999999,1511180.8000000000,10729622.5000000000,
FS(59),1630478.2000000000,1580478.2800000000,1562607.1600000001,1568130.5600000001,1507285.7799999998,1430536.2400000000,1541068.8400000001,10820588.0600000005,
FS(60),1645853.5599999998,1587331.2400000000,1588970.8899999999,1577659.5200000000,1489728.5799999998,1456521.0799999998,1551835.9600000000,10897903.8300000001,
FS(61),1640700.2800000000,1620596.6499999999,1577144.1700000002,1589967.7600000002,1497629.3199999998,1474863.3200000001,1563902.5599999998,10964807.0599999987,
FS(62),1613413.2399999998,1607890.1199999999,1564331.8900000001,1599695.2400000000,1521916.7799999998,1498882.9199999999,1520834.0800000001,10926967.2699999996,
FS(63),1604373.8799999999,1608032.8899999999,1596855.3700000001,1592151.4800000002,1535962.5400000000,1510237.6399999999,1517492.5599999998,10965109.3599999994,
FS(64),1607584.1199999999,1621310.5000000000,1622972.7100000002,1605650.8400000001,1511089.8399999999,1476610.2000000000,1513222.8400000001,10958444.0499999989,
FS(65),1702286.2000000000,1612887.0699999998,1613609.8899999999,1601084.8800000001,1513723.4199999999,1450843.7199999997,1492431.1599999999,10986869.3399999999,
FS(66),1752044.9199999999,1609746.1299999999,1606957.3600000001,1627885.0800000001,1521038.9199999999,1462635.1599999999,1483520.4399999999,11063831.0099999998,
FS(67),1757113.7200000000,1628877.3099999998,1624451.0500000003,1634436.2400000000,1529524.8999999999,1467875.7999999998,1488904.0000000000,11131186.0200000014,
FS(68),1766237.5599999998,1655289.7599999998,1631596.3600000001,1638208.1200000001,1535669.9199999999,1472243.0000000000,1488532.7200000000,11187780.4399999976,
FS(69),1749679.4800000000,1664141.5000000000,1640466.3999999999,1640590.3600000001,1535084.6799999999,1464163.6799999999,1508767.4800000000,11202896.5800000001,
