代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,14037655.5199999996
真實報酬,4037655.5199999996
趨勢值,0.1382839497

選擇檔數,8
找到最佳解世代,1887
找到最佳解實驗,1
Stock#,AAPL,BA,DD,KO,MCD,MMM,UNH,V,
分配資金,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,
張數,10761,7963,15238,29904,10449,7020,7742,15723,
剩餘資金,109.8499999999,47.8900000000,26.8600000000,12.8000000001,90.6200000000,88.9999999999,54.1000000001,21.5000000000,
FS(40),1504390.0399999998,1464523.2200000000,1377084.9199999999,1260765.4399999999,1348534.0700000001,1332906.2000000002,1300245.5800000001,1399211.2700000000,10987660.7399999984,
FS(41),1495458.4099999999,1457197.2600000000,1374799.2199999997,1270035.6799999999,1339965.8899999997,1333116.7999999998,1295368.1200000001,1391978.6899999999,10957920.0699999984,
FS(42),1504282.4299999999,1450747.2300000000,1372818.2800000000,1270334.7200000000,1336517.7200000000,1329045.2000000000,1302258.5000000000,1396066.6700000002,10962070.7499999981,
FS(43),1499547.5899999999,1440793.4800000000,1378151.5799999998,1261363.5200000000,1337876.0899999999,1326167.0000000000,1306129.5000000000,1398425.1199999999,10948453.8799999971,
FS(44),1501484.5700000001,1449473.1499999999,1370380.2000000000,1255681.7600000000,1338294.0499999998,1327500.8000000000,1303032.7000000002,1400311.8800000001,10946159.1099999994,
FS(45),1495888.8499999999,1447243.5100000000,1373275.4199999999,1255681.7600000000,1338503.0300000000,1330449.2000000000,1300013.3200000001,1398739.5799999998,10939794.6699999999,
FS(46),1492445.3299999998,1437926.7999999998,1378913.4799999997,1256877.9200000002,1339025.4799999997,1333187.0000000000,1300787.5200000000,1401098.0300000000,10940261.5599999987,
FS(47),1497395.3899999997,1423035.9899999998,1385313.4399999997,1264652.9600000000,1337353.6399999999,1342383.2000000000,1316039.2600000000,1410846.2900000000,10977020.1699999999,
FS(48),1498041.0499999998,1425823.0400000000,1391256.2599999998,1256877.9200000002,1333487.5099999998,1344559.4000000001,1317819.9200000002,1416821.0300000000,10984686.1299999990,
FS(49),1495781.2400000000,1423274.8799999999,1381961.0799999998,1255083.6799999999,1335472.8199999998,1336205.6000000001,1308916.6200000001,1408016.1499999999,10944712.0699999984,
FS(50),1511599.9099999999,1423115.6199999999,1398418.1199999999,1259569.2800000000,1336308.7399999998,1342313.0000000000,1329974.8600000001,1413833.6599999999,11015133.1899999995,
FS(51),1514074.9399999999,1418974.8599999999,1385770.5799999998,1263456.8000000000,1337353.6399999999,1336065.2000000000,1326258.7000000002,1415720.4200000002,10997675.1400000006,
FS(52),1506542.2400000000,1434184.1899999999,1389427.7000000000,1256877.9200000002,1344249.9799999997,1350456.2000000002,1313871.5000000000,1418865.0200000000,11014474.7499999981,
FS(53),1522360.9099999999,1428530.4599999997,1399637.1599999997,1261363.5200000000,1345712.8399999999,1355019.2000000000,1300710.1000000001,1402198.6400000001,11015532.8300000001,
FS(54),1504928.0899999999,1401217.3699999999,1368856.3999999999,1270932.8000000000,1342996.1000000001,1348841.5999999999,1298387.5000000000,1384588.8800000001,10920748.7400000002,
FS(55),1521930.4699999997,1409339.6299999999,1362608.8199999998,1267344.3200000001,1349056.5199999998,1349473.3999999999,1293200.3600000001,1391821.4600000000,10944774.9800000004,
FS(56),1516549.9699999997,1411569.2699999998,1385161.0600000001,1261064.4800000000,1348011.6199999999,1348911.7999999998,1279729.2800000000,1397167.2800000000,10948164.7599999979,
FS(57),1513536.8899999997,1400102.5499999998,1368856.3999999999,1259569.2800000000,1351564.2800000000,1344489.2000000000,1277484.1000000001,1402355.8699999999,10917958.5699999966,
FS(58),1516119.5299999998,1402332.1899999999,1389275.3199999998,1265550.0800000001,1353131.6299999999,1336907.6000000001,1274387.3000000000,1398582.3500000001,10936285.9999999981,
FS(59),1547541.6499999999,1412365.5700000001,1410608.5199999998,1268839.5200000000,1352713.6699999997,1340838.8000000000,1280193.8000000000,1401255.2600000000,11014356.7899999972,
FS(60),1550985.1699999999,1414515.5799999998,1397960.9799999997,1268540.4800000000,1346339.7800000000,1338662.6000000001,1265406.5800000001,1402198.6400000001,10984609.8099999987,
FS(61),1548940.5799999998,1417302.6299999999,1392780.0600000001,1273923.2000000002,1351355.2999999998,1342874.6000000001,1277406.6800000002,1399525.7300000000,11004108.7799999993,
FS(62),1546035.1099999999,1408384.0700000001,1378913.4799999997,1269138.5600000001,1354385.5100000000,1343225.6000000001,1269819.5200000000,1397324.5100000000,10967226.3599999994,
FS(63),1546465.5499999998,1406711.8399999999,1368399.2599999998,1268241.4399999999,1354385.5100000000,1338943.3999999999,1282051.8800000001,1405028.7800000000,10970227.6599999983,
FS(64),1557979.8200000001,1423035.9899999998,1371446.8599999999,1276315.5200000000,1351041.8299999998,1335222.8000000000,1277251.8400000001,1395909.4399999999,10988204.0999999978,
FS(65),1549909.0700000001,1410135.9299999999,1378456.3399999999,1273026.0800000001,1362744.7099999997,1335573.8000000000,1280348.6400000001,1399840.1899999999,10990034.7599999979,
FS(66),1546035.1099999999,1412445.2000000000,1380437.2800000000,1276016.4800000000,1360027.9700000000,1333116.7999999998,1280116.3800000001,1400783.5700000001,10988978.7899999991,
FS(67),1542591.5899999999,1424230.4399999999,1371294.4799999997,1274222.2400000000,1358042.6599999999,1333818.8000000000,1285380.9400000002,1395280.5200000000,10984861.6699999999,
FS(68),1540762.2199999997,1413958.1699999999,1372970.6599999997,1276614.5600000001,1358251.6399999997,1331853.2000000000,1281200.2600000000,1397167.2800000000,10972777.9899999984,
FS(69),1524190.2799999998,1422000.7999999998,1356056.4799999997,1275717.4399999999,1370999.4199999997,1334380.3999999999,1283909.9600000002,1397010.0499999998,10964264.8300000001,
FS(70),1526019.6499999999,1401934.0400000000,1343713.7000000000,1284090.5600000001,1371626.3599999999,1331783.0000000000,1281819.6200000001,1394337.1400000001,10935324.0700000003,
FS(71),1517948.8999999999,1398509.9500000000,1325123.3399999999,1279604.9600000000,1366401.8599999999,1324412.0000000000,1277174.4200000002,1397324.5100000000,10886499.9399999995,
FS(72),1526342.4800000000,1425584.1499999999,1339599.4399999997,1287978.0800000001,1372566.7699999998,1336416.2000000002,1294361.6600000001,1412104.1300000001,10994952.9100000001,
FS(73),1519563.0499999998,1416267.4399999999,1334113.7599999998,1300238.7200000000,1382493.3200000001,1335433.3999999999,1305277.8800000001,1410846.2900000000,11004233.8600000013,
FS(74),1513967.3299999998,1420647.0899999999,1335637.5600000001,1292762.7200000000,1386045.9799999997,1332695.6000000001,1310387.6000000001,1411160.7500000000,11003304.6299999971,
FS(75),1532906.6899999999,1427813.7900000000,1344170.8399999999,1288576.1600000001,1392628.8500000001,1342032.2000000000,1328116.7800000000,1433172.9500000002,11089418.2599999998,
FS(76),1531077.3200000001,1436413.8299999998,1348894.6199999999,1287978.0800000001,1394091.7099999997,1344419.0000000000,1325174.8200000001,1433172.9500000002,11101222.3299999982,
FS(77),1545819.8899999997,1449791.6699999999,1363218.3399999999,1294257.9200000002,1402659.8899999997,1363583.5999999999,1334232.9600000002,1444179.0499999998,11197743.3199999984,
FS(78),1555397.1799999999,1461338.0199999998,1406494.2599999998,1289174.2400000000,1480713.9199999997,1369901.5999999999,1347471.7800000000,1448267.0300000000,11358758.0299999993,
FS(79),1546250.3299999998,1447004.6199999999,1395980.0399999998,1293061.7600000000,1471727.7800000000,1368989.0000000000,1350104.0600000001,1443707.3599999999,11316824.9499999993,
FS(80),1547434.0399999998,1459028.7500000000,1371294.4799999997,1286183.8400000001,1472041.2500000000,1376781.2000000002,1352039.5600000001,1440248.2999999998,11305051.4199999999,
FS(81),1545927.5000000000,1471849.1799999999,1362761.2000000000,1290370.3999999999,1462219.1899999999,1374815.6000000001,1353975.0600000001,1434273.5600000001,11296191.6900000013,
FS(82),1577457.2300000000,1452419.4599999997,1356666.0000000000,1292463.6799999999,1474966.9700000000,1367655.2000000000,1351729.8800000001,1434902.4800000000,11308260.8999999985,
FS(83),1587464.9599999997,1460780.6099999999,1356666.0000000000,1297547.3600000001,1475802.8899999997,1379729.6000000001,1348245.9800000000,1455027.9200000002,11361265.3199999984,
FS(84),1582622.5099999998,1460382.4599999997,1339142.2999999998,1295454.0800000001,1490327.0000000000,1387451.5999999999,1335858.7800000000,1453455.6199999999,11344694.3499999978,
FS(85),1576919.1799999999,1457834.2999999998,1332894.7199999997,1305621.4399999999,1498999.6699999997,1400649.2000000000,1347316.9400000002,1456285.7600000000,11376521.2099999990,
FS(86),1603068.4099999999,1473282.5199999998,1369161.1599999997,1306518.5600000001,1504328.6599999999,1399877.0000000000,1348091.1400000001,1447952.5700000001,11452280.0199999996,
FS(87),1646650.4599999997,1481325.1499999999,1353466.0199999998,1312499.3600000001,1507254.3799999999,1394612.0000000000,1350568.5800000001,1445279.6599999999,11491655.6099999994,
FS(88),1657196.2400000000,1488412.2200000000,1341732.7599999998,1301135.8400000001,1508508.2600000000,1389768.2000000000,1341278.1800000002,1446537.5000000000,11474569.1999999993,
FS(89),1649340.7099999997,1458710.2300000000,1339142.2999999998,1302930.0800000001,1510180.1000000001,1380501.7999999998,1342439.4800000000,1450468.2500000000,11433712.9500000011,
FS(90),1656765.7999999998,1464762.1099999999,1342342.2800000000,1305920.4800000000,1506940.9099999999,1381274.0000000000,1341897.5400000000,1448109.7999999998,11448012.9199999981,
FS(91),1679901.9499999997,1459267.6399999999,1346304.1599999997,1303528.1600000001,1518957.2600000000,1380010.3999999999,1330207.1200000001,1458015.2900000000,11476191.9800000004,
FS(92),1675597.5499999998,1452419.4599999997,1354075.5399999998,1307714.7200000000,1528570.3399999999,1387451.5999999999,1328039.3600000001,1465876.7900000000,11499745.3599999994,
FS(93),1673122.5199999998,1454887.9899999998,1351942.2199999997,1311303.2000000002,1539123.8299999998,1389417.2000000000,1301639.1400000001,1464618.9500000002,11486055.0499999970,
FS(94),1616950.0999999999,1423673.0299999998,1306380.5999999999,1313695.5200000000,1529928.7099999997,1367865.8000000000,1307368.2200000002,1442763.9800000000,11308625.9599999990,
FS(95),1641592.7899999998,1412684.0899999999,1314609.1199999999,1309808.0000000000,1536198.1099999999,1370673.8000000000,1327420.0000000000,1441977.8299999998,11354963.7400000002,
FS(96),1647188.5099999998,1439439.7699999998,1329999.5000000000,1312798.3999999999,1548109.9700000000,1374605.0000000000,1336245.8800000001,1454084.5400000000,11442471.5699999984,
FS(97),1657196.2400000000,1462612.0999999999,1323294.7800000000,1321171.5200000000,1548527.9299999999,1393629.2000000000,1352581.5000000000,1467134.6300000001,11526147.9000000004,
FS(98),1655151.6499999999,1461178.7600000000,1319028.1399999999,1327451.3600000001,1544661.7999999998,1388153.5999999999,1356607.3400000001,1475782.2800000000,11528014.9299999978,
FS(99),1650201.5899999999,1475193.6399999999,1333504.2400000000,1346589.9200000002,1562216.1199999999,1386468.8000000000,1359471.8800000001,1490719.1300000001,11604365.3200000003,
FS(100),1655904.9199999999,1489686.2999999998,1316132.9199999999,1357953.4399999999,1565141.8399999999,1400859.8000000000,1378517.2000000002,1494335.4200000002,11658531.8399999980,
FS(101),1653107.0600000001,1485864.0599999998,1325123.3399999999,1357355.3600000001,1565977.7600000000,1408792.3999999999,1374259.1000000001,1488517.9099999999,11658996.9900000002,
FS(102),1653752.7199999997,1488173.3299999998,1321313.8399999999,1358551.5200000000,1566709.1899999999,1421217.8000000000,1367213.8800000001,1489304.0600000001,11666236.3399999999,
FS(103),1643960.2099999997,1494145.5799999998,1344627.9799999997,1359747.6799999999,1576740.2299999997,1435468.3999999999,1356297.6600000001,1497322.7900000000,11708310.5299999993,
FS(104),1648479.8299999998,1491677.0499999998,1361999.2999999998,1369316.9600000000,1592413.7299999997,1434626.0000000000,1390362.4600000002,1499995.7000000002,11788871.0299999975,
