代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12114939.4000000004
真實報酬,2114939.4000000004
趨勢值,0.0397842239

選擇檔數,5
找到最佳解世代,2264
找到最佳解實驗,3
Stock#,CAT,MRK,PG,UNH,WMT,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,29416,38109,25519,17173,32541,
剩餘資金,6.1600000002,39.6800000001,75.9699999999,32.4200000001,30.1400000000,
FS(226),2753932.0800000001,2351364.9800000004,2112028.4099999997,2614793.3999999999,2281805.0600000001,12113923.9300000016,
FS(227),2829237.0400000005,2349078.4400000004,2109986.8900000001,2636774.8399999999,2304909.1699999999,12229986.3800000008,
FS(228),2818353.1200000001,2370800.5700000003,2129891.7099999995,2624238.5499999998,2317925.5700000003,12261209.5200000014,
FS(229),2791584.5600000005,2355175.8799999999,2119939.2999999993,2612217.4500000002,2316623.9300000002,12195541.1200000010,
FS(230),2766286.8000000003,2370038.3900000001,2115345.8799999999,2706325.4899999998,2322481.3100000001,12280477.8700000010,
FS(231),2810999.1200000001,2331929.3900000001,2104372.7099999995,2718861.7799999998,2291892.7700000005,12258055.7700000014,
FS(232),2831002.0000000000,2315542.5200000000,2089061.3100000001,2763855.0400000000,2299702.6100000003,12299163.4800000004,
FS(233),2798644.4000000004,2329642.8500000001,2102841.5699999998,2760248.7100000000,2306536.2200000002,12297913.7500000019,
FS(234),2778347.3600000003,2296106.9300000002,2117897.7799999998,2707012.4099999997,2275947.6800000002,12175312.1600000001,
FS(235),2800997.6800000002,2297250.2000000002,2115856.2599999998,2701688.7799999998,2289614.8999999999,12205407.8200000003,
FS(236),2863065.4399999999,2288866.2200000002,2148265.3900000001,2737408.6200000001,2297424.7399999998,12335030.4100000001,
FS(237),2831884.4800000000,2291152.7600000002,2130912.4699999997,2736034.7799999998,2288964.0800000001,12278948.5700000003,
FS(238),2810116.6400000001,2333453.7500000000,2153114.0000000000,2749773.1800000002,2280503.4199999999,12326960.9900000002,
FS(239),2796879.4399999999,2352127.1600000001,2172508.4399999995,2738954.1899999999,2332243.6100000003,12392712.8400000017,
FS(240),2824530.4800000000,2354794.7900000000,2173784.3900000001,2756985.8399999999,2336473.9399999999,12446569.4400000013,
FS(241),2757462.0000000000,2355175.8799999999,2153114.0000000000,2745308.2000000002,2321505.0800000001,12332565.1600000001,
FS(242),2780700.6400000001,2376898.0100000002,2161024.8900000001,2758359.6800000002,2313044.4199999999,12390027.6400000006,
FS(243),2723339.4399999999,2379565.6400000001,2161024.8900000001,2815374.0400000000,2309790.3200000003,12389094.3300000001,
FS(244),2727163.5200000000,2330023.9400000004,2161790.4599999995,2774158.8399999999,2329314.9199999999,12322451.6799999997,
FS(245),2775111.6000000001,2305634.1800000002,2158217.7999999993,2775017.4899999998,2337124.7599999998,12351105.8300000001,
FS(246),2759815.2799999998,2264857.5500000003,2150817.2899999996,2770552.5100000002,2318250.9800000000,12264293.6100000013,
FS(247),2768640.0800000001,2270573.8999999999,2155665.8999999999,2774845.7600000002,2264558.3300000001,12234283.9700000007,
FS(248),2774523.2799999998,2269811.7200000002,2168170.2099999995,2799746.6099999999,2262931.2800000003,12275183.1000000015,
FS(249),2781288.9600000000,2278576.7900000000,2158983.3699999996,2793049.1399999997,2268137.8400000003,12280036.0999999996,
FS(250),2740106.5600000005,2258760.1100000003,2145458.2999999993,2772441.5400000000,2255446.8500000001,12172213.3600000013,
FS(251),2744224.8000000003,2249995.0400000000,2152603.6199999996,2765572.3399999999,2253819.8000000003,12166215.5999999996,
FS(252),2728046.0000000000,2243516.5100000002,2145713.4899999998,2748399.3399999999,2249264.0600000001,12114939.4000000004,
