代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,14522920.2200000025
真實報酬,4522920.2200000025
趨勢值,0.0939999271

選擇檔數,6
找到最佳解世代,2245
找到最佳解實驗,1
Stock#,BA,MMM,MRK,NKE,UNH,UTX,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,21625,17584,40316,64300,30558,19841,
剩餘資金,27.2500000001,54.4800000000,2.5599999999,9.9999999999,32.6800000000,22.0000000000,
FS(39),1672937.2500000002,1821229.3599999999,1732381.0799999998,1747041.0000000000,1646192.1399999999,1797021.3699999999,10416806.1999999993,
FS(40),1662989.7500000005,1828790.4800000000,1722705.2399999998,1750899.0000000000,1633357.7800000000,1796624.5500000000,10395370.8000000007,
FS(41),1671207.2500000002,1824746.1599999999,1718673.6399999999,1762473.0000000000,1635496.8400000001,1788291.3299999998,10400892.2200000007,
FS(42),1667098.5000000002,1816130.0000000000,1747298.0000000000,1759901.0000000000,1629385.2400000000,1768450.3299999998,10388267.0700000003,
FS(43),1701049.7500000002,1836703.2800000000,1743669.5599999998,1765045.0000000000,1634885.6799999999,1805949.8199999998,10487307.0900000017,
FS(44),1710132.2500000002,1840395.9199999999,1761005.4399999997,1777905.0000000000,1638247.0599999998,1806941.8699999999,10534631.5400000010,
FS(45),1752733.5000000002,1838285.8400000001,1744475.8799999999,1775333.0000000000,1644053.0799999998,1819640.1099999999,10574525.4100000001,
FS(46),1756626.0000000002,1858859.1199999999,1732381.0799999998,1758615.0000000000,1644358.6599999999,1826782.8699999999,10577626.7299999986,
FS(47),1793604.7500000002,1860617.5200000000,1760199.1199999996,1753471.0000000000,1656581.8599999999,1843449.3099999998,10667927.5600000005,
FS(48),1819987.2500000002,1848660.3999999999,1815835.1999999997,1720035.0000000000,1675527.8199999998,1848012.7400000000,10728062.4100000001,
FS(49),1832746.0000000002,1847957.0400000000,1797693.0000000000,1763759.0000000000,1664832.5199999998,1846822.2800000000,10753813.8399999999,
