初始資金,10000000.0000000000
最後資金,13481668.2199999988
真實報酬,3481668.2199999988

二次趨勢線,16.4716412881x^2 + 10680.0607238366x + 10000000.0000000000
加權每日預期報酬,16225.5132908146
風險,221253.5403079586
二次趨勢值,0.0733344798

平均每日預期報酬,58.9181982925
風險,221253.5403079586
二次趨勢值,0.0002662927

一次趨勢線,13799.3655613449x + 10000000.0000000000
每日預期報酬,13799.3655613449
風險,250530.9268358921
一次趨勢值,0.0550804874

投資組合檔數,1
FS(51),10465492.7799999993,
FS(52),10489992.3999999985,
FS(53),10532186.1899999995,
FS(54),10480464.7699999996,
FS(55),10426021.1699999981,
FS(56),10671017.3700000010,
FS(57),10468214.9599999990,
FS(58),10498158.9399999995,
FS(59),10472298.2299999986,
FS(60),10598879.5999999996,
FS(61),10620657.0399999991,
FS(62),10658767.5600000005,
FS(63),10703683.5299999993,
FS(64),10744516.2299999986,
FS(65),10762210.3999999985,
FS(66),10698239.1699999981,
FS(67),10711850.0700000003,
FS(68),10794876.5600000005,
FS(69),10849320.1599999983,
FS(70),10822098.3599999994,
FS(71),10978623.7099999990,
FS(72),10989512.4299999997,
FS(73),11043956.0299999993,
FS(74),11015373.1400000006,
FS(75),11092955.2699999996,
FS(76),11230425.3599999994,
FS(77),11205925.7400000002,
FS(78),11229064.2699999996,
FS(79),11248119.5299999993,
FS(80),11259008.2500000000,
FS(81),11219536.6400000006,
FS(82),11109288.3499999996,
FS(83),11098399.6300000008,
FS(84),11022178.5899999999,
FS(85),10990873.5199999996,
FS(86),10962290.6300000008,
FS(87),10984068.0700000003,
FS(88),11043956.0299999993,
FS(89),11045317.1200000010,
FS(90),11060289.1099999994,
FS(91),10937791.0099999998,
FS(92),10988151.3399999999,
FS(93),11088872.0000000000,
FS(94),11057566.9299999997,
FS(95),11135149.0600000005,
FS(96),11231786.4499999993,
FS(97),11254924.9799999986,
FS(98),11269896.9699999988,
FS(99),11249480.6200000010,
FS(100),11200481.3800000008,
FS(101),11139232.3300000001,
FS(102),11204564.6499999985,
FS(103),11480865.9199999981,
FS(104),11510809.8999999985,
FS(105),11476782.6499999985,
FS(106),11657807.6200000010,
FS(107),11656446.5299999993,
FS(108),11686390.5099999998,
FS(109),11713612.3100000005,
FS(110),11651002.1699999981,
FS(111),11616974.9199999981,
FS(112),11567975.6799999997,
FS(113),11563892.4099999983,
FS(114),11679585.0600000005,
FS(115),11634669.0899999999,
FS(116),11623780.3700000010,
FS(117),11734028.6599999983,
FS(118),11742195.1999999993,
FS(119),11778944.6300000008,
FS(120),12053884.8100000005,
FS(121),11993996.8499999996,
FS(122),11980385.9499999993,
FS(123),11853804.5800000001,
FS(124),11811610.7899999991,
FS(125),11770778.0899999999,
FS(126),11758528.2799999993,
FS(127),11577503.3100000005,
FS(128),11642835.6300000008,
FS(129),11471338.2899999991,
FS(130),11580225.4900000002,
FS(131),11175981.7599999998,
FS(132),11700001.4099999983,
FS(133),11444116.4900000002,
FS(134),11743556.2899999991,
FS(135),11773500.2699999996,
FS(136),11817055.1499999985,
FS(137),11796638.7999999989,
FS(138),11909609.2699999996,
FS(139),11652363.2599999998,
FS(140),11872859.8399999999,
FS(141),11944997.6099999994,
FS(142),12185910.5399999991,
FS(143),12267575.9399999995,
FS(144),12074301.1599999983,
FS(145),12240354.1400000006,
FS(146),12357407.8800000008,
FS(147),12356046.7899999991,
FS(148),12305686.4599999990,
FS(149),12259409.3999999985,
FS(150),12126022.5800000001,
FS(151),12089273.1499999985,
FS(152),12153244.3800000008,
FS(153),12060690.2599999998,
FS(154),11573420.0399999991,
FS(155),11731306.4799999986,
FS(156),11721778.8499999996,
FS(157),11807527.5199999996,
FS(158),11987191.3999999985,
FS(159),12017135.3800000008,
FS(160),12087912.0600000005,
FS(161),12155966.5600000005,
FS(162),11912331.4499999993,
FS(163),11704084.6799999997,
FS(164),11891915.0999999996,
FS(165),12160049.8300000001,
FS(166),12214493.4299999997,
FS(167),11981747.0399999991,
FS(168),12083828.7899999991,
FS(169),11953164.1499999985,
FS(170),11708167.9499999993,
FS(171),11770778.0899999999,
FS(172),11682307.2400000002,
FS(173),11856526.7599999998,
FS(174),11868776.5700000003,
FS(175),12047079.3599999994,
FS(176),12160049.8300000001,
FS(177),12026663.0099999998,
FS(178),12155966.5600000005,
FS(179),12241715.2299999986,
FS(180),12067495.7099999990,
FS(181),12200882.5299999993,
FS(182),12198160.3499999996,
FS(183),12115133.8599999994,
FS(184),12565654.6499999985,
FS(185),12523460.8599999994,
FS(186),12490794.6999999993,
FS(187),12492155.7899999991,
FS(188),12727624.3599999994,
FS(189),12697680.3800000008,
FS(190),12637792.4199999981,
FS(191),12509849.9599999990,
FS(192),12594237.5399999991,
FS(193),12658208.7699999996,
FS(194),12768457.0600000005,
FS(195),12878705.3499999996,
FS(196),12875983.1699999981,
FS(197),12610570.6200000010,
FS(198),12693597.1099999994,
FS(199),12897760.6099999994,
FS(200),12802484.3100000005,
FS(201),12858289.0000000000,
FS(202),12678625.1200000010,
FS(203),12561571.3800000008,
FS(204),12622820.4299999997,
FS(205),12560210.2899999991,
FS(206),12610570.6200000010,
FS(207),12504405.5999999996,
FS(208),12535710.6699999981,
FS(209),12761651.6099999994,
FS(210),12720818.9099999983,
FS(211),13001203.4499999993,
FS(212),12998481.2699999996,
FS(213),13025703.0700000003,
FS(214),12978064.9199999981,
FS(215),13067896.8599999994,
FS(216),13127784.8200000003,
FS(217),13191756.0499999989,
FS(218),13342837.0399999991,
FS(219),13404086.0899999999,
FS(220),13338753.7699999996,
FS(221),13285671.2599999998,
FS(222),13357809.0299999993,
FS(223),13269338.1799999997,
FS(224),13235310.9299999997,
FS(225),13450363.1499999985,
FS(226),13502084.5700000003,
FS(227),13420419.1699999981,
FS(228),13631388.1200000010,
FS(229),13685831.7199999988,
FS(230),13553805.9900000002,
FS(231),13721220.0600000005,
FS(232),13655887.7400000002,
FS(233),13453085.3300000001,
FS(234),13527945.2799999993,
FS(235),13587833.2400000002,
FS(236),13692637.1699999981,
FS(237),13561972.5299999993,
FS(238),13570139.0700000003,
FS(239),13601444.1400000006,
FS(240),13688553.8999999985,
FS(241),13658609.9199999981,
FS(242),13685831.7199999988,
FS(243),13823301.8100000005,
FS(244),13782469.1099999994,
FS(245),13847801.4299999997,
FS(246),13740275.3200000003,
FS(247),13440835.5199999996,
FS(248),13506167.8399999999,
FS(249),13499362.3900000006,
FS(250),13432668.9799999986,
FS(251),13432668.9799999986,
FS(252),13481668.2199999988,
